var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,339995.79238643,380448.75877564,1,657.9483930446,685.52870520503,1,0,0.05,4,0,0,10
0.2,0.4,0,380448.75877564,420901.72516485,0,685.52870520503,713.10901736546,0,0.05,0.1,0,0,0,0
0.4,0.6,0,420901.72516485,461354.69155406,0,713.10901736546,740.68932952589,0,0.1,0.15,0,0,0,0
0.6,0.8,0,461354.69155406,501807.65794328,2,740.68932952589,768.26964168633,0,0.15,0.2,0,0,0,0
0.8,1,2,501807.65794328,542260.62433249,3,768.26964168633,795.84995384676,2,0.2,0.25,0,0,0,0
1,1.2,0,542260.62433249,582713.5907217,1,795.84995384676,823.43026600719,2,0.25,0.3,0,0,0,0
1.2,1.4,0,582713.5907217,623166.55711091,0,823.43026600719,851.01057816762,2,0.3,0.35,0,0,0,0
1.4,1.6,0,623166.55711091,663619.52350012,0,851.01057816762,878.59089032805,0,0.35,0.4,0,0,0,0
1.6,1.8,0,663619.52350012,704072.48988933,0,878.59089032805,906.17120248849,0,0.4,0.45,0,0,0,0
1.8,2,3,704072.48988933,744525.45627854,0,906.17120248849,933.75151464892,0,0.45,0.5,0,0,0,0
2,2.2,0,744525.45627854,784978.42266776,0,933.75151464892,961.33182680935,0,0.5,0.55,0,0,0,0
2.2,2.4,0,784978.42266776,825431.38905697,1,961.33182680935,988.91213896978,0,0.55,0.6,0,0,0,0
2.4,2.6,0,825431.38905697,865884.35544618,1,988.91213896978,1016.4924511302,0,0.6,0.65,0,0,0,0
2.6,2.8,0,865884.35544618,906337.32183539,0,1016.4924511302,1044.0727632906,1,0.65,0.7,0,0,0,0
2.8,3,2,906337.32183539,946790.2882246,0,1044.0727632906,1071.6530754511,1,0.7,0.75,0,0,0,0
3,3.2,0,946790.2882246,987243.25461381,0,1071.6530754511,1099.2333876115,0,0.75,0.8,0,0,0,0
3.2,3.4,0,987243.25461381,1027696.221003,0,1099.2333876115,1126.8136997719,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1027696.221003,1068149.1873922,0,1126.8136997719,1154.3940119324,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1068149.1873922,1108602.1537814,0,1154.3940119324,1181.9743240928,0,0.9,0.95,0,0,0,0
3.8,4,1,1108602.1537814,1149055.1201707,1,1181.9743240928,1209.5546362532,1,0.95,1,6,0,0,0
