var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,345520.59602931,385563.50462622,1,663.27255814257,690.51618933194,1,0,0.05,4,0,0,10
0.2,0.4,0,385563.50462622,425606.41322312,0,690.51618933194,717.75982052132,0,0.05,0.1,0,0,0,0
0.4,0.6,0,425606.41322312,465649.32182003,0,717.75982052132,745.0034517107,0,0.1,0.15,0,0,0,0
0.6,0.8,0,465649.32182003,505692.23041693,2,745.0034517107,772.24708290007,0,0.15,0.2,0,0,0,0
0.8,1,2,505692.23041693,545735.13901384,3,772.24708290007,799.49071408945,2,0.2,0.25,0,0,0,0
1,1.2,0,545735.13901384,585778.04761074,1,799.49071408945,826.73434527882,2,0.25,0.3,0,0,0,0
1.2,1.4,0,585778.04761074,625820.95620765,0,826.73434527882,853.9779764682,2,0.3,0.35,0,0,0,0
1.4,1.6,0,625820.95620765,665863.86480455,0,853.9779764682,881.22160765758,0,0.35,0.4,0,0,0,0
1.6,1.8,0,665863.86480455,705906.77340146,0,881.22160765758,908.46523884695,0,0.4,0.45,0,0,0,0
1.8,2,3,705906.77340146,745949.68199836,0,908.46523884695,935.70887003633,0,0.45,0.5,0,0,0,0
2,2.2,0,745949.68199836,785992.59059527,0,935.70887003633,962.9525012257,0,0.5,0.55,0,0,0,0
2.2,2.4,0,785992.59059527,826035.49919217,1,962.9525012257,990.19613241508,0,0.55,0.6,0,0,0,0
2.4,2.6,0,826035.49919217,866078.40778908,0,990.19613241508,1017.4397636045,1,0.6,0.65,0,0,0,0
2.6,2.8,0,866078.40778908,906121.31638598,1,1017.4397636045,1044.6833947938,0,0.65,0.7,0,0,0,0
2.8,3,2,906121.31638598,946164.22498289,0,1044.6833947938,1071.9270259832,1,0.7,0.75,0,0,0,0
3,3.2,0,946164.22498289,986207.13357979,0,1071.9270259832,1099.1706571726,0,0.75,0.8,0,0,0,0
3.2,3.4,0,986207.13357979,1026250.0421767,0,1099.1706571726,1126.414288362,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1026250.0421767,1066292.9507736,0,1126.414288362,1153.6579195513,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1066292.9507736,1106335.8593705,0,1153.6579195513,1180.9015507407,0,0.9,0.95,0,0,0,0
3.8,4,1,1106335.8593705,1146378.7679674,1,1180.9015507407,1208.1451819301,1,0.95,1,6,0,0,0
