var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,336273.65595529,377004.85553282,1,654.33700538403,682.14635598576,1,0,0.05,4,0,0,10
0.2,0.4,0,377004.85553282,417736.05511036,0,682.14635598576,709.95570658749,0,0.05,0.1,0,0,0,0
0.4,0.6,0,417736.05511036,458467.2546879,0,709.95570658749,737.76505718922,0,0.1,0.15,0,0,0,0
0.6,0.8,0,458467.2546879,499198.45426544,2,737.76505718922,765.57440779095,0,0.15,0.2,0,0,0,0
0.8,1,2,499198.45426544,539929.65384298,3,765.57440779095,793.38375839268,2,0.2,0.25,0,0,0,0
1,1.2,0,539929.65384298,580660.85342052,1,793.38375839268,821.19310899442,2,0.25,0.3,0,0,0,0
1.2,1.4,0,580660.85342052,621392.05299806,0,821.19310899442,849.00245959615,2,0.3,0.35,0,0,0,0
1.4,1.6,0,621392.05299806,662123.2525756,0,849.00245959615,876.81181019788,0,0.35,0.4,0,0,0,0
1.6,1.8,0,662123.2525756,702854.45215314,0,876.81181019788,904.62116079961,0,0.4,0.45,0,0,0,0
1.8,2,3,702854.45215314,743585.65173068,0,904.62116079961,932.43051140134,0,0.45,0.5,0,0,0,0
2,2.2,0,743585.65173068,784316.85130822,0,932.43051140134,960.23986200307,0,0.5,0.55,0,0,0,0
2.2,2.4,0,784316.85130822,825048.05088576,1,960.23986200307,988.0492126048,0,0.55,0.6,0,0,0,0
2.4,2.6,0,825048.05088576,865779.2504633,1,988.0492126048,1015.8585632065,0,0.6,0.65,0,0,0,0
2.6,2.8,0,865779.2504633,906510.45004083,0,1015.8585632065,1043.6679138083,1,0.65,0.7,0,0,0,0
2.8,3,2,906510.45004083,947241.64961837,0,1043.6679138083,1071.47726441,1,0.7,0.75,0,0,0,0
3,3.2,0,947241.64961837,987972.84919591,0,1071.47726441,1099.2866150117,0,0.75,0.8,0,0,0,0
3.2,3.4,0,987972.84919591,1028704.0487735,0,1099.2866150117,1127.0959656135,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1028704.0487735,1069435.248351,0,1127.0959656135,1154.9053162152,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1069435.248351,1110166.4479285,0,1154.9053162152,1182.7146668169,0,0.9,0.95,0,0,0,0
3.8,4,1,1110166.4479285,1150897.6475061,1,1182.7146668169,1210.5240174187,1,0.95,1,6,0,0,0
