var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,345877.4650715,385900.34619972,1,663.61499844548,690.8403567635,1,0,0.05,4,0,0,10
0.2,0.4,0,385900.34619972,425923.22732794,0,690.8403567635,718.06571508153,0,0.05,0.1,0,0,0,0
0.4,0.6,0,425923.22732794,465946.10845615,0,718.06571508153,745.29107339955,0,0.1,0.15,0,0,0,0
0.6,0.8,0,465946.10845615,505968.98958437,2,745.29107339955,772.51643171757,0,0.15,0.2,0,0,0,0
0.8,1,2,505968.98958437,545991.87071258,3,772.51643171757,799.74179003559,2,0.2,0.25,0,0,0,0
1,1.2,0,545991.87071258,586014.7518408,1,799.74179003559,826.96714835362,2,0.25,0.3,0,0,0,0
1.2,1.4,0,586014.7518408,626037.63296902,0,826.96714835362,854.19250667164,2,0.3,0.35,0,0,0,0
1.4,1.6,0,626037.63296902,666060.51409723,0,854.19250667164,881.41786498966,0,0.35,0.4,0,0,0,0
1.6,1.8,0,666060.51409723,706083.39522545,0,881.41786498966,908.64322330768,0,0.4,0.45,0,0,0,0
1.8,2,3,706083.39522545,746106.27635366,0,908.64322330768,935.86858162571,0,0.45,0.5,0,0,0,0
2,2.2,0,746106.27635366,786129.15748188,0,935.86858162571,963.09393994373,0,0.5,0.55,0,0,0,0
2.2,2.4,0,786129.15748188,826152.03861009,1,963.09393994373,990.31929826175,0,0.55,0.6,0,0,0,0
2.4,2.6,0,826152.03861009,866174.91973831,0,990.31929826175,1017.5446565798,1,0.6,0.65,0,0,0,0
2.6,2.8,0,866174.91973831,906197.80086653,1,1017.5446565798,1044.7700148978,0,0.65,0.7,0,0,0,0
2.8,3,2,906197.80086653,946220.68199474,0,1044.7700148978,1071.9953732158,1,0.7,0.75,0,0,0,0
3,3.2,0,946220.68199474,986243.56312296,0,1071.9953732158,1099.2207315338,0,0.75,0.8,0,0,0,0
3.2,3.4,0,986243.56312296,1026266.4442512,0,1099.2207315338,1126.4460898519,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1026266.4442512,1066289.3253794,0,1126.4460898519,1153.6714481699,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1066289.3253794,1106312.2065076,0,1153.6714481699,1180.8968064879,0,0.9,0.95,0,0,0,0
3.8,4,1,1106312.2065076,1146335.0876358,1,1180.8968064879,1208.1221648059,1,0.95,1,6,0,0,0
