var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,334144.94002583,375021.57477566,1,652.26263982697,680.19621517173,1,0,0.05,4,0,0,10
0.2,0.4,0,375021.57477566,415898.20952548,0,680.19621517173,708.12979051648,0,0.05,0.1,0,0,0,0
0.4,0.6,0,415898.20952548,456774.8442753,0,708.12979051648,736.06336586123,0,0.1,0.15,0,0,0,0
0.6,0.8,0,456774.8442753,497651.47902512,2,736.06336586123,763.99694120598,0,0.15,0.2,0,0,0,0
0.8,1,2,497651.47902512,538528.11377494,3,763.99694120598,791.93051655074,2,0.2,0.25,0,0,0,0
1,1.2,0,538528.11377494,579404.74852476,1,791.93051655074,819.86409189549,2,0.25,0.3,0,0,0,0
1.2,1.4,0,579404.74852476,620281.38327459,0,819.86409189549,847.79766724024,2,0.3,0.35,0,0,0,0
1.4,1.6,0,620281.38327459,661158.01802441,0,847.79766724024,875.731242585,0,0.35,0.4,0,0,0,0
1.6,1.8,0,661158.01802441,702034.65277423,0,875.731242585,903.66481792975,0,0.4,0.45,0,0,0,0
1.8,2,3,702034.65277423,742911.28752405,0,903.66481792975,931.5983932745,0,0.45,0.5,0,0,0,0
2,2.2,0,742911.28752405,783787.92227387,0,931.5983932745,959.53196861926,0,0.5,0.55,0,0,0,0
2.2,2.4,0,783787.92227387,824664.55702369,1,959.53196861926,987.46554396401,0,0.55,0.6,0,0,0,0
2.4,2.6,0,824664.55702369,865541.19177352,1,987.46554396401,1015.3991193088,0,0.6,0.65,0,0,0,0
2.6,2.8,0,865541.19177352,906417.82652334,0,1015.3991193088,1043.3326946535,1,0.65,0.7,0,0,0,0
2.8,3,2,906417.82652334,947294.46127316,0,1043.3326946535,1071.2662699983,1,0.7,0.75,0,0,0,0
3,3.2,0,947294.46127316,988171.09602298,0,1071.2662699983,1099.199845343,0,0.75,0.8,0,0,0,0
3.2,3.4,0,988171.09602298,1029047.7307728,0,1099.199845343,1127.1334206878,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1029047.7307728,1069924.3655226,0,1127.1334206878,1155.0669960325,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1069924.3655226,1110801.0002724,0,1155.0669960325,1183.0005713773,0,0.9,0.95,0,0,0,0
3.8,4,1,1110801.0002724,1151677.6350223,1,1183.0005713773,1210.934146722,1,0.95,1,6,0,0,0
