var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,366479.42533513,405166.85193821,1,683.09303661252,709.18337057677,1,0,0.05,4,0,0,10
0.2,0.4,0,405166.85193821,443854.27854128,0,709.18337057677,735.27370454102,0,0.05,0.1,0,0,0,0
0.4,0.6,0,443854.27854128,482541.70514435,1,735.27370454102,761.36403850527,0,0.1,0.15,0,0,0,0
0.6,0.8,0,482541.70514435,521229.13174742,3,761.36403850527,787.45437246952,1,0.15,0.2,0,0,0,0
0.8,1,2,521229.13174742,559916.55835049,1,787.45437246952,813.54470643377,3,0.2,0.25,0,0,0,0
1,1.2,0,559916.55835049,598603.98495357,1,813.54470643377,839.63504039802,0,0.25,0.3,0,0,0,0
1.2,1.4,0,598603.98495357,637291.41155664,0,839.63504039802,865.72537436227,2,0.3,0.35,0,0,0,0
1.4,1.6,0,637291.41155664,675978.83815971,0,865.72537436227,891.81570832652,0,0.35,0.4,0,0,0,0
1.6,1.8,0,675978.83815971,714666.26476278,0,891.81570832652,917.90604229077,0,0.4,0.45,0,0,0,0
1.8,2,3,714666.26476278,753353.69136585,1,917.90604229077,943.99637625502,0,0.45,0.5,0,0,0,0
2,2.2,0,753353.69136585,792041.11796893,0,943.99637625502,970.08671021927,0,0.5,0.55,0,0,0,0
2.2,2.4,0,792041.11796893,830728.544572,0,970.08671021927,996.17704418352,1,0.55,0.6,0,0,0,0
2.4,2.6,0,830728.544572,869415.97117507,0,996.17704418352,1022.2673781478,0,0.6,0.65,0,0,0,0
2.6,2.8,0,869415.97117507,908103.39777814,1,1022.2673781478,1048.357712112,0,0.65,0.7,0,0,0,0
2.8,3,2,908103.39777814,946790.82438121,0,1048.357712112,1074.4480460763,1,0.7,0.75,0,0,0,0
3,3.2,0,946790.82438121,985478.25098429,0,1074.4480460763,1100.5383800405,0,0.75,0.8,0,0,0,0
3.2,3.4,0,985478.25098429,1024165.6775874,0,1100.5383800405,1126.6287140048,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1024165.6775874,1062853.1041904,0,1126.6287140048,1152.719047969,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1062853.1041904,1101540.5307935,0,1152.719047969,1178.8093819333,0,0.9,0.95,0,0,0,0
3.8,4,1,1101540.5307935,1140227.9573966,1,1178.8093819333,1204.8997158975,1,0.95,1,6,0,0,0
