var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,341550.29586733,381880.74376382,1,659.450789077,686.93240096093,1,0,0.05,4,0,0,10
0.2,0.4,0,381880.74376382,422211.19166031,0,686.93240096093,714.41401284485,0,0.05,0.1,0,0,0,0
0.4,0.6,0,422211.19166031,462541.63955681,0,714.41401284485,741.89562472877,0,0.1,0.15,0,0,0,0
0.6,0.8,0,462541.63955681,502872.0874533,2,741.89562472877,769.3772366127,0,0.15,0.2,0,0,0,0
0.8,1,2,502872.0874533,543202.53534979,3,769.3772366127,796.85884849662,2,0.2,0.25,0,0,0,0
1,1.2,0,543202.53534979,583532.98324628,1,796.85884849662,824.34046038054,2,0.25,0.3,0,0,0,0
1.2,1.4,0,583532.98324628,623863.43114277,0,824.34046038054,851.82207226447,2,0.3,0.35,0,0,0,0
1.4,1.6,0,623863.43114277,664193.87903926,0,851.82207226447,879.30368414839,0,0.35,0.4,0,0,0,0
1.6,1.8,0,664193.87903926,704524.32693576,0,879.30368414839,906.78529603231,0,0.4,0.45,0,0,0,0
1.8,2,3,704524.32693576,744854.77483225,0,906.78529603231,934.26690791624,0,0.45,0.5,0,0,0,0
2,2.2,0,744854.77483225,785185.22272874,0,934.26690791624,961.74851980016,0,0.5,0.55,0,0,0,0
2.2,2.4,0,785185.22272874,825515.67062523,1,961.74851980016,989.23013168408,0,0.55,0.6,0,0,0,0
2.4,2.6,0,825515.67062523,865846.11852172,0,989.23013168408,1016.711743568,1,0.6,0.65,0,0,0,0
2.6,2.8,0,865846.11852172,906176.56641821,1,1016.711743568,1044.1933554519,0,0.65,0.7,0,0,0,0
2.8,3,2,906176.56641821,946507.01431471,0,1044.1933554519,1071.6749673359,1,0.7,0.75,0,0,0,0
3,3.2,0,946507.01431471,986837.4622112,0,1071.6749673359,1099.1565792198,0,0.75,0.8,0,0,0,0
3.2,3.4,0,986837.4622112,1027167.9101077,0,1099.1565792198,1126.6381911037,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1027167.9101077,1067498.3580042,0,1126.6381911037,1154.1198029876,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1067498.3580042,1107828.8059007,0,1154.1198029876,1181.6014148715,0,0.9,0.95,0,0,0,0
3.8,4,1,1107828.8059007,1148159.2537972,1,1181.6014148715,1209.0830267555,1,0.95,1,6,0,0,0
