var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,355506.5266598,395098.92173616,1,672.78894770552,699.58245965939,1,0,0.05,4,0,0,10
0.2,0.4,0,395098.92173616,434691.31681252,0,699.58245965939,726.37597161326,0,0.05,0.1,0,0,0,0
0.4,0.6,0,434691.31681252,474283.71188888,1,726.37597161326,753.16948356713,0,0.1,0.15,0,0,0,0
0.6,0.8,0,474283.71188888,513876.10696524,2,753.16948356713,779.962995521,1,0.15,0.2,0,0,0,0
0.8,1,2,513876.10696524,553468.5020416,2,779.962995521,806.75650747487,2,0.2,0.25,0,0,0,0
1,1.2,0,553468.5020416,593060.89711796,1,806.75650747487,833.55001942873,1,0.25,0.3,0,0,0,0
1.2,1.4,0,593060.89711796,632653.29219433,0,833.55001942873,860.3435313826,2,0.3,0.35,0,0,0,0
1.4,1.6,0,632653.29219433,672245.68727069,0,860.3435313826,887.13704333647,0,0.35,0.4,0,0,0,0
1.6,1.8,0,672245.68727069,711838.08234705,0,887.13704333647,913.93055529034,0,0.4,0.45,0,0,0,0
1.8,2,3,711838.08234705,751430.47742341,0,913.93055529034,940.72406724421,0,0.45,0.5,0,0,0,0
2,2.2,0,751430.47742341,791022.87249977,1,940.72406724421,967.51757919808,0,0.5,0.55,0,0,0,0
2.2,2.4,0,791022.87249977,830615.26757613,0,967.51757919808,994.31109115195,1,0.55,0.6,0,0,0,0
2.4,2.6,0,830615.26757613,870207.66265249,0,994.31109115195,1021.1046031058,0,0.6,0.65,0,0,0,0
2.6,2.8,0,870207.66265249,909800.05772885,1,1021.1046031058,1047.8981150597,0,0.65,0.7,0,0,0,0
2.8,3,2,909800.05772885,949392.45280522,0,1047.8981150597,1074.6916270136,1,0.7,0.75,0,0,0,0
3,3.2,0,949392.45280522,988984.84788158,0,1074.6916270136,1101.4851389674,0,0.75,0.8,0,0,0,0
3.2,3.4,0,988984.84788158,1028577.2429579,0,1101.4851389674,1128.2786509213,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1028577.2429579,1068169.6380343,0,1128.2786509213,1155.0721628752,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1068169.6380343,1107762.0331107,0,1155.0721628752,1181.865674829,0,0.9,0.95,0,0,0,0
3.8,4,1,1107762.0331107,1147354.428187,1,1181.865674829,1208.6591867829,1,0.95,1,6,0,0,0
