var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,366398.50171854,405028.22922055,1,683.01761435541,709.07908691083,1,0,0.05,4,0,0,10
0.2,0.4,0,405028.22922055,443657.95672257,0,709.07908691083,735.14055946624,0,0.05,0.1,0,0,0,0
0.4,0.6,0,443657.95672257,482287.68422458,1,735.14055946624,761.20203202165,0,0.1,0.15,0,0,0,0
0.6,0.8,0,482287.68422458,520917.4117266,3,761.20203202165,787.26350457707,1,0.15,0.2,0,0,0,0
0.8,1,2,520917.4117266,559547.13922861,1,787.26350457707,813.32497713248,3,0.2,0.25,0,0,0,0
1,1.2,0,559547.13922861,598176.86673063,1,813.32497713248,839.3864496879,0,0.25,0.3,0,0,0,0
1.2,1.4,0,598176.86673063,636806.59423264,0,839.3864496879,865.44792224331,2,0.3,0.35,0,0,0,0
1.4,1.6,0,636806.59423264,675436.32173466,0,865.44792224331,891.50939479873,0,0.35,0.4,0,0,0,0
1.6,1.8,0,675436.32173466,714066.04923667,0,891.50939479873,917.57086735414,0,0.4,0.45,0,0,0,0
1.8,2,3,714066.04923667,752695.77673869,1,917.57086735414,943.63233990956,0,0.45,0.5,0,0,0,0
2,2.2,0,752695.77673869,791325.5042407,0,943.63233990956,969.69381246497,0,0.5,0.55,0,0,0,0
2.2,2.4,0,791325.5042407,829955.23174272,0,969.69381246497,995.75528502039,1,0.55,0.6,0,0,0,0
2.4,2.6,0,829955.23174272,868584.95924473,0,995.75528502039,1021.8167575758,0,0.6,0.65,0,0,0,0
2.6,2.8,0,868584.95924473,907214.68674675,1,1021.8167575758,1047.8782301312,0,0.65,0.7,0,0,0,0
2.8,3,2,907214.68674675,945844.41424876,0,1047.8782301312,1073.9397026866,1,0.7,0.75,0,0,0,0
3,3.2,0,945844.41424876,984474.14175078,0,1073.9397026866,1100.001175242,0,0.75,0.8,0,0,0,0
3.2,3.4,0,984474.14175078,1023103.8692528,0,1100.001175242,1126.0626477975,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1023103.8692528,1061733.5967548,0,1126.0626477975,1152.1241203529,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1061733.5967548,1100363.3242568,0,1152.1241203529,1178.1855929083,0,0.9,0.95,0,0,0,0
3.8,4,1,1100363.3242568,1138993.0517588,1,1178.1855929083,1204.2470654637,1,0.95,1,6,0,0,0
