var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,329190.51789476,370489.45601237,1,647.40897826294,675.67694968858,1,0,0.05,4,0,0,10
0.2,0.4,0,370489.45601237,411788.39412997,0,675.67694968858,703.94492111422,0,0.05,0.1,0,0,0,0
0.4,0.6,0,411788.39412997,453087.33224757,0,703.94492111422,732.21289253987,0,0.1,0.15,0,0,0,0
0.6,0.8,0,453087.33224757,494386.27036517,2,732.21289253987,760.48086396551,0,0.15,0.2,0,0,0,0
0.8,1,2,494386.27036517,535685.20848278,3,760.48086396551,788.74883539115,2,0.2,0.25,0,0,0,0
1,1.2,0,535685.20848278,576984.14660038,1,788.74883539115,817.0168068168,2,0.25,0.3,0,0,0,0
1.2,1.4,0,576984.14660038,618283.08471798,0,817.0168068168,845.28477824244,2,0.3,0.35,0,0,0,0
1.4,1.6,0,618283.08471798,659582.02283559,0,845.28477824244,873.55274966808,0,0.35,0.4,0,0,0,0
1.6,1.8,0,659582.02283559,700880.96095319,0,873.55274966808,901.82072109372,0,0.4,0.45,0,0,0,0
1.8,2,3,700880.96095319,742179.89907079,0,901.82072109372,930.08869251937,0,0.45,0.5,0,0,0,0
2,2.2,0,742179.89907079,783478.83718839,0,930.08869251937,958.35666394501,0,0.5,0.55,0,0,0,0
2.2,2.4,0,783478.83718839,824777.775306,0,958.35666394501,986.62463537065,0,0.55,0.6,0,0,0,0
2.4,2.6,0,824777.775306,866076.7134236,2,986.62463537065,1014.8926067963,0,0.6,0.65,0,0,0,0
2.6,2.8,0,866076.7134236,907375.6515412,0,1014.8926067963,1043.1605782219,1,0.65,0.7,0,0,0,0
2.8,3,2,907375.6515412,948674.5896588,0,1043.1605782219,1071.4285496476,1,0.7,0.75,0,0,0,0
3,3.2,0,948674.5896588,989973.52777641,0,1071.4285496476,1099.6965210732,0,0.75,0.8,0,0,0,0
3.2,3.4,0,989973.52777641,1031272.465894,0,1099.6965210732,1127.9644924989,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1031272.465894,1072571.4040116,0,1127.9644924989,1156.2324639245,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1072571.4040116,1113870.3421292,0,1156.2324639245,1184.5004353502,0,0.9,0.95,0,0,0,0
3.8,4,1,1113870.3421292,1155169.2802468,1,1184.5004353502,1212.7684067758,1,0.95,1,6,0,0,0
