# Step gr0 gr1 gr2 gr3 
21700 63000 14475 57250 83025
21800 63000 14475 57250 83025
21900 63000 14425 57250 83025
22000 63000 14400 57250 83025
22100 63000 14400 57250 83025
22200 63000 14400 57250 83000
22300 62975 14400 57275 83025
22400 62975 14400 57300 83025
22500 62975 14400 57275 83050
22600 62975 14400 57275 83050
22700 62975 14375 57250 83050
22800 62975 14375 57250 83050
22900 63000 14375 57250 83050
23000 63000 14375 57250 83050
23100 63000 14375 57250 83050
23200 63025 14375 57225 83050
23300 63025 14375 57225 83075
23400 63025 14375 57225 83075
23500 63050 14375 57225 83075
23600 63050 14375 57200 83075
23700 63050 14350 57200 83050
23800 63050 14325 57225 83050
23900 63050 14325 57200 83050
24000 63050 14325 57200 83025
24100 63050 14325 57200 83025
24200 63050 14325 57175 83025
24300 63050 14325 57175 83025
24400 63050 14325 57175 83025
24500 63050 14325 57175 83025
24600 63050 14325 57175 83025
24700 63050 14325 57175 83000
24800 63050 14325 57150 83000
24900 63050 14325 57150 82975
25000 63050 14300 57175 82975
25100 63050 14300 57175 82975
25200 63050 14300 57175 82975
25300 63025 14275 57175 82925
25400 63000 14250 57200 82925
25500 63000 14250 57200 82925
25600 63000 14250 57225 82925
25700 63000 14250 57200 82925
25800 63000 14225 57200 82925
25900 62975 14225 57150 82925
26000 62975 14225 57150 82925
26100 62975 14225 57150 82875
26200 62950 14225 57125 82875
26300 62950 14200 57125 82875
26400 62950 14175 57125 82875
26500 62950 14175 57125 82875
26600 62950 14175 57125 82875
26700 62950 14175 57125 82875
26800 62950 14175 57125 82875
26900 62950 14175 57125 82900
27000 62975 14175 57125 82875
27100 62975 14175 57125 82825
27200 62925 14175 57125 82800
27300 62925 14175 57125 82800
27400 62925 14150 57125 82800
27500 62925 14150 57125 82800
27600 62925 14150 57075 82825
27700 62925 14150 57075 82825
27800 62925 14125 57075 82825
27900 62900 14125 57075 82825
28000 62875 14125 57075 82825
28100 62825 14125 57075 82825
28200 62825 14125 57075 82825
28300 62825 14125 57050 82825
28400 62825 14125 57025 82825
28500 62825 14125 57050 82825
28600 62850 14125 57050 82825
28700 62850 14125 57050 82825
28800 62875 14125 57075 82825
28900 62875 14125 57075 82825
29000 62875 14125 57075 82825
29100 62875 14125 57075 82825
29200 62875 14125 57075 82825
29300 62875 14125 57075 82825
29400 62875 14100 57075 82825
29500 62875 14100 57075 82825
29600 62875 14100 57075 82850
29700 62875 14100 57075 82850
29800 62875 14100 57075 82850
29900 62875 14100 57075 82850
30000 62875 14100 57075 82850
30100 62875 14100 57075 82850
