var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.1,1,19405.09539242,19540.209964834,1,157.18566990342,157.71506913505,1,1,1,3,0,0,3
0.1,0.2,0,19540.209964834,19675.324537249,0,157.71506913505,158.24446836667,0,1,1,0,0,0,0
0.2,0.3,0,19675.324537249,19810.439109663,0,158.24446836667,158.7738675983,0,1,1,0,0,0,0
0.3,0.4,0,19810.439109663,19945.553682078,0,158.7738675983,159.30326682993,0,1,1,0,0,0,0
0.4,0.5,0,19945.553682078,20080.668254492,0,159.30326682993,159.83266606155,0,1,1,0,0,0,0
0.5,0.6,0,20080.668254492,20215.782826906,1,159.83266606155,160.36206529318,1,1,1,0,0,0,0
0.6,0.7,0,20215.782826906,20350.897399321,0,160.36206529318,160.89146452481,0,1,1,0,0,0,0
0.7,0.8,0,20350.897399321,20486.011971735,0,160.89146452481,161.42086375643,0,1,1,0,0,0,0
0.8,0.9,0,20486.011971735,20621.12654415,0,161.42086375643,161.95026298806,0,1,1,0,0,0,0
0.9,1,1,20621.12654415,20756.241116564,0,161.95026298806,162.47966221968,0,1,1,0,0,0,0
1,1.1,0,20756.241116564,20891.355688979,0,162.47966221968,163.00906145131,0,1,1,0,0,0,0
1.1,1.2,0,20891.355688979,21026.470261393,0,163.00906145131,163.53846068294,0,1,1,0,0,0,0
1.2,1.3,0,21026.470261393,21161.584833807,0,163.53846068294,164.06785991456,0,1,1,0,0,0,0
1.3,1.4,0,21161.584833807,21296.699406222,0,164.06785991456,164.59725914619,0,1,1,0,0,0,0
1.4,1.5,0,21296.699406222,21431.813978636,0,164.59725914619,165.12665837782,0,1,1,0,0,0,0
1.5,1.6,0,21431.813978636,21566.928551051,0,165.12665837782,165.65605760944,0,1,1,0,0,0,0
1.6,1.7,0,21566.928551051,21702.043123465,0,165.65605760944,166.18545684107,0,1,1,0,0,0,0
1.7,1.8,0,21702.043123465,21837.157695879,0,166.18545684107,166.7148560727,0,1,1,0,0,0,0
1.8,1.9,0,21837.157695879,21972.272268294,0,166.7148560727,167.24425530432,0,1,1,0,0,0,0
1.9,2,1,21972.272268294,22107.386840708,1,167.24425530432,167.77365453595,1,1,1,0,0,0,0
