var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396464.66841689,710.48891189004,1,0
1,392714.43991826,707.12060830699,1,0
2,392713.03332997,707.11934195623,1,0
3,388467.65094773,703.28683695703,1,0
4,393934.38864938,708.21807493135,0,0
5,390281.04747865,704.92642396954,0,0
6,390279.65688907,704.92516812555,0,0
7,386626.31828975,701.61807094877,1,0
8,393900.09269087,708.18724549999,1,0
9,390279.78411149,704.92528302044,0,0
10,390293.88961474,704.93802162033,0,0
11,386012.78101316,701.06115108394,1,0
12,391443.43085327,705.97539311876,0,0
13,387764.72246917,702.65025346968,0,0
14,387724.44162641,702.61375700957,0,0
15,384238.79435842,699.44837379074,1,0
