var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396449.55394851,710.47536873551,1,0
1,392733.69143202,707.13794020761,1,0
2,392733.12652872,707.13743163818,1,0
3,389000.30303472,703.76883188854,1,0
4,393949.63191795,708.23177702768,0,0
5,390298.33567552,704.94203678487,0,0
6,390297.89302023,704.94163703116,0,0
7,386646.58971873,701.63646417991,1,0
8,393948.97742645,708.23118871406,1,0
9,390297.84324334,704.94159207857,0,0
10,390240.486105,704.88979199983,0,0
11,386562.74244199,701.5603824322,1,0
12,391455.74444703,705.98649692732,0,0
13,387857.14118403,702.73398228877,0,0
14,387805.25482489,702.68697589976,0,0
15,384212.77200036,699.42468851419,1,0
