var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,395811.60161293,709.90350290623,1,0
1,391941.96668398,706.42480932036,1,0
2,391937.46166687,706.42074945275,1,0
3,388077.2999072,702.9333998722,1,0
4,393171.87243563,707.53231435929,0,0
5,389505.99655206,704.22612683822,0,0
6,389501.23824805,704.22182532262,0,0
7,385835.90863927,700.900518375,1,0
8,392221.8216993,706.67696559009,1,0
9,389503.86617243,704.22420097435,0,0
10,390817.84110096,705.41103626026,0,0
11,385716.05735943,700.79165039929,1,0
12,390681.49382076,705.2879747513,0,0
13,385949.78632234,701.0039445165,0,0
14,386959.46758657,701.9202920139,0,0
15,384624.87315136,699.79968447053,1,0
