var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396051.40326116,710.11851713637,1,0
1,392296.36599059,706.74411666112,1,0
2,392277.32014461,706.7269603679,1,0
3,388648.80673518,703.45080122875,1,0
4,393516.82396538,707.84262501725,0,0
5,389857.08623742,704.54344010338,0,0
6,389846.14776022,704.53355611424,0,0
7,386191.98509564,701.22386388623,1,0
8,391336.92151861,705.87934081713,1,0
9,389853.5009603,704.54020046843,0,0
10,392061.47485224,706.53250013645,0,0
11,386148.76585609,701.18462535816,1,0
12,391036.29287004,705.60815720113,0,0
13,385112.45659226,700.24310700168,0,0
14,387550.07391994,702.45574926817,0,0
15,386219.57989434,701.24891591537,1,0
