var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396292.84303837,710.33493441614,1,0
1,392537.31825312,706.96112791593,1,0
2,392524.61803756,706.94969125638,1,0
3,388857.0365556,703.63922303345,1,0
4,393757.34737946,708.05891401319,0,0
5,390101.27223749,704.76405006518,0,0
6,390091.31080621,704.75505175631,0,0
7,386435.30657769,701.44473325885,1,0
8,392300.18836976,706.74755976899,1,0
9,390092.26420437,704.75591298001,0,0
10,391636.93379695,706.14986461027,0,0
11,386347.01266391,701.36459456832,1,0
12,391261.75201014,705.81154354521,0,0
13,386109.91244468,701.14934866888,0,0
14,387557.79379523,702.46274558186,0,0
15,385638.17552274,700.72089667361,1,0
