var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396032.54689283,710.1016122402,1,0
1,392257.55794546,706.70915835116,1,0
2,392243.79467639,706.69675997486,1,0
3,388610.18763477,703.41585025043,1,0
4,393489.24690079,707.81782231175,0,0
5,389824.09221012,704.51362633551,0,0
6,389812.80378666,704.50342570158,0,0
7,386147.81226418,701.18375957214,1,0
8,391131.71821002,705.69424740833,1,0
9,389815.26034259,704.5056455483,0,0
10,392162.71371791,706.62371533674,0,0
11,386091.77066069,701.13287635227,1,0
12,391009.61979149,705.58409157973,0,0
13,384899.02906002,700.04904437431,0,0
14,387544.41414469,702.45061992302,0,0
15,386358.87464873,701.37536145928,1,0
