var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.75,1,384782.85207638,385362.33930604,1,699.94338585319,700.46653696059,1,0,0.05,8,0,0,16
0.75,1.5,1,385362.33930604,385941.8265357,0,700.46653696059,700.98968806799,0,0.05,0.1,0,0,0,0
1.5,2.25,1,385941.8265357,386521.31376537,2,700.98968806799,701.51283917539,2,0.1,0.15,0,0,0,0
2.25,3,1,386521.31376537,387100.80099503,1,701.51283917539,702.03599028279,1,0.15,0.2,0,0,0,0
3,3.75,0,387100.80099503,387680.2882247,0,702.03599028279,702.55914139019,0,0.2,0.25,0,0,0,0
3.75,4.5,1,387680.2882247,388259.77545436,1,702.55914139019,703.08229249759,1,0.25,0.3,0,0,0,0
4.5,5.25,1,388259.77545436,388839.26268402,0,703.08229249759,703.60544360499,0,0.3,0.35,0,0,0,0
5.25,6,1,388839.26268402,389418.74991369,1,703.60544360499,704.12859471239,1,0.35,0.4,0,0,0,0
6,6.75,0,389418.74991369,389998.23714335,0,704.12859471239,704.65174581979,0,0.4,0.45,0,0,0,0
6.75,7.5,1,389998.23714335,390577.72437302,3,704.65174581979,705.17489692719,3,0.45,0.5,0,0,0,0
7.5,8.25,1,390577.72437302,391157.21160268,1,705.17489692719,705.6980480346,1,0.5,0.55,0,0,0,0
8.25,9,1,391157.21160268,391736.69883235,1,705.6980480346,706.221199142,1,0.55,0.6,0,0,0,0
9,9.75,0,391736.69883235,392316.18606201,0,706.221199142,706.7443502494,0,0.6,0.65,0,0,0,0
9.75,10.5,1,392316.18606201,392895.67329167,3,706.7443502494,707.2675013568,3,0.65,0.7,0,0,0,0
10.5,11.25,1,392895.67329167,393475.16052134,0,707.2675013568,707.7906524642,0,0.7,0.75,0,0,0,0
11.25,12,1,393475.16052134,394054.647751,1,707.7906524642,708.3138035716,1,0.75,0.8,0,0,0,0
12,12.75,0,394054.647751,394634.13498067,0,708.3138035716,708.836954679,0,0.8,0.85,0,0,0,0
12.75,13.5,1,394634.13498067,395213.62221033,0,708.836954679,709.3601057864,0,0.85,0.9,0,0,0,0
13.5,14.25,1,395213.62221033,395793.10944,0,709.3601057864,709.8832568938,0,0.9,0.95,0,0,0,0
14.25,15,1,395793.10944,396372.59666966,1,709.8832568938,710.4064080012,1,0.95,1,8,0,0,0
