var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.75,1,385241.76835152,385783.37856675,1,700.36065976671,700.84956429156,1,0,0.05,8,0,0,16
0.75,1.5,1,385783.37856675,386324.98878198,3,700.84956429156,701.33846881641,3,0.05,0.1,0,0,0,0
1.5,2.25,1,386324.98878198,386866.5989972,0,701.33846881641,701.82737334125,0,0.1,0.15,0,0,0,0
2.25,3,1,386866.5989972,387408.20921243,0,701.82737334125,702.3162778661,0,0.15,0.2,0,0,0,0
3,3.75,0,387408.20921243,387949.81942765,1,702.3162778661,702.80518239095,1,0.2,0.25,0,0,0,0
3.75,4.5,1,387949.81942765,388491.42964288,0,702.80518239095,703.2940869158,0,0.25,0.3,0,0,0,0
4.5,5.25,1,388491.42964288,389033.03985811,1,703.2940869158,703.78299144064,1,0.3,0.35,0,0,0,0
5.25,6,1,389033.03985811,389574.65007333,0,703.78299144064,704.27189596549,0,0.35,0.4,0,0,0,0
6,6.75,0,389574.65007333,390116.26028856,3,704.27189596549,704.76080049034,3,0.4,0.45,0,0,0,0
6.75,7.5,1,390116.26028856,390657.87050378,0,704.76080049034,705.24970501518,0,0.45,0.5,0,0,0,0
7.5,8.25,1,390657.87050378,391199.48071901,1,705.24970501518,705.73860954003,1,0.5,0.55,0,0,0,0
8.25,9,1,391199.48071901,391741.09093424,1,705.73860954003,706.22751406488,1,0.55,0.6,0,0,0,0
9,9.75,0,391741.09093424,392282.70114946,1,706.22751406488,706.71641858973,1,0.6,0.65,0,0,0,0
9.75,10.5,1,392282.70114946,392824.31136469,2,706.71641858973,707.20532311457,2,0.65,0.7,0,0,0,0
10.5,11.25,1,392824.31136469,393365.92157991,0,707.20532311457,707.69422763942,0,0.7,0.75,0,0,0,0
11.25,12,1,393365.92157991,393907.53179514,1,707.69422763942,708.18313216427,1,0.75,0.8,0,0,0,0
12,12.75,0,393907.53179514,394449.14201037,0,708.18313216427,708.67203668912,0,0.8,0.85,0,0,0,0
12.75,13.5,1,394449.14201037,394990.75222559,0,708.67203668912,709.16094121396,0,0.85,0.9,0,0,0,0
13.5,14.25,1,394990.75222559,395532.36244082,0,709.16094121396,709.64984573881,0,0.9,0.95,0,0,0,0
14.25,15,1,395532.36244082,396073.97265605,1,709.64984573881,710.13875026366,1,0.95,1,8,0,0,0
