var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396160.37165255,710.21620035381,1,0
1,392358.53980088,706.80011926218,1,0
2,392338.46686476,706.78203919807,1,0
3,388554.36992602,703.36533115407,1,0
4,393589.69816385,707.90816360781,0,0
5,389929.48642568,704.60885729279,0,0
6,389909.54574051,704.59084049293,0,0
7,386249.54599116,701.27611972172,1,0
8,389464.35147872,704.1884787238,1,0
9,389922.69335616,704.60271967308,0,0
10,394161.25386141,708.42197553347,0,0
11,386006.5947861,701.05553347094,1,0
12,391101.40225017,705.66689829288,0,0
13,383210.14729401,698.51149845834,0,0
14,387506.27777805,702.416056693,0,0
15,388304.17089428,703.13883818788,1,0
