var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396356.14816123,710.39166777053,1,0
1,392559.67997257,706.9812643979,1,0
2,392542.03282388,706.96537338267,1,0
3,388901.12431572,703.67911044078,1,0
4,393792.64986568,708.09065396673,0,0
5,390127.08308894,704.78736485625,0,0
6,390104.4932498,704.76695962887,0,0
7,386433.69515965,701.44327076065,1,0
8,390901.75581067,705.48676359273,1,0
9,390120.46679192,704.78138846738,0,0
10,392916.45472755,707.30245859622,0,0
11,386279.8706008,701.30364791873,1,0
12,391305.64605245,705.85113347796,0,0
13,384671.38498811,699.84199580684,0,0
14,387766.46923001,702.65183607956,0,0
15,387150.94715713,702.09393652283,1,0
