var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396167.88513952,710.22293522086,1,0
1,392429.59586382,706.8641170538,1,0
2,392365.89222403,706.80674160971,1,0
3,388680.25384854,703.47926014749,1,0
4,393710.69201007,708.01696466417,0,0
5,390045.49351598,704.71366283781,0,0
6,389884.86723763,704.56854234401,0,0
7,386225.3778109,701.25417945929,1,0
8,391260.49967028,705.81041397321,1,0
9,390086.63903256,704.75083163419,0,0
10,392467.03438694,706.89783433421,0,0
11,386257.97353329,701.28377021849,1,0
12,391281.17290635,705.82906036428,0,0
13,385080.87624312,700.21439542044,0,0
14,387625.09088084,702.52373215504,0,0
15,386550.33542125,701.5491237889,1,0
