var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396274.04599567,710.31808784085,1,0
1,392542.68685875,706.96596233846,1,0
2,392535.77549573,706.95973865875,1,0
3,388758.29164527,703.54987759678,1,0
4,393758.43793423,708.05989453648,0,0
5,390099.60448562,704.76254356814,0,0
6,390093.5834567,704.75710468537,0,0
7,386434.76935108,701.44424568059,1,0
8,393395.57854946,707.7335708677,1,0
9,390094.40855633,704.75785001232,0,0
10,390422.6174842,705.05426439381,0,0
11,386230.56588188,701.25888933136,1,0
12,391252.95372928,705.80360772849,0,0
13,387282.89522539,702.21356950752,0,0
14,387441.31064838,702.35717265615,0,0
15,384326.91887994,699.52857784666,1,0
