var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396163.04116061,710.21859322904,1,0
1,392410.02669383,706.84649234269,1,0
2,392396.7762035,706.83455821634,1,0
3,388753.94808662,703.54594723856,1,0
4,393619.20924664,707.9347023421,0,0
5,389969.51956012,704.64502662356,0,0
6,389959.12313979,704.63563379369,0,0
7,386309.5046477,701.33054819001,1,0
8,391801.80884138,706.29848981547,1,0
9,389960.11474046,704.63652967826,0,0
10,391834.54132928,706.32799251736,0,0
11,386231.58784123,701.25981709015,1,0
12,391125.10195191,705.68827873484,0,0
13,385616.71814958,700.70140192456,0,0
14,387550.36096134,702.45600940726,0,0
15,385917.23077391,700.9743784305,1,0
