var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396398.13178854,710.42929053658,1,0
1,392596.09889741,707.01405801082,1,0
2,392530.11919542,706.95464512174,1,0
3,388882.45017675,703.66221571045,1,0
4,393833.78594101,708.12763702093,0,0
5,390162.88532316,704.81970352809,0,0
6,390097.75088907,704.76086919196,0,0
7,386427.16739453,701.43734623037,1,0
8,391178.18877905,705.73616811905,1,0
9,390156.01229484,704.81349552202,0,0
10,392674.82468504,707.08494186409,0,0
11,386269.58908678,701.29431464535,1,0
12,391340.38401127,705.88246356953,0,0
13,384947.36466473,700.09299905993,0,0
14,387801.42256723,702.68350394552,0,0
15,386938.58392881,701.9013509333,1,0
