var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396357.65366546,710.39301693169,1,0
1,392605.96811859,707.02294454114,1,0
2,392518.43711598,706.94412521337,1,0
3,388842.02711583,703.62564306515,1,0
4,393794.25682742,708.09209872888,0,0
5,390123.41298225,704.78404971739,0,0
6,390036.7706428,704.70578277974,0,0
7,386366.23024564,701.3820379073,1,0
8,391192.04794521,705.7486698746,1,0
9,390165.69698753,704.82224312495,0,0
10,392630.84708718,707.04534578361,0,0
11,386288.52780443,701.31150659185,1,0
12,391349.89553891,705.89104175369,0,0
13,385002.27603488,700.14293016544,0,0
14,387768.56885965,702.65373839286,0,0
15,386884.88163999,701.85264163086,1,0
