var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396184.2899334,710.23763976997,1,0
1,392417.77948506,706.85347484294,1,0
2,392353.63860747,706.79570470947,1,0
3,388762.63814223,703.55381059181,1,0
4,393732.44776668,708.03652627665,0,0
5,390067.20423465,704.73327545664,0,0
6,389960.29057316,704.63668853826,0,0
7,386295.30189003,701.31765578217,1,0
8,391268.00894187,705.81718707792,1,0
9,390081.27317777,704.74598450121,0,0
10,392537.59867328,706.96138043475,0,0
11,386274.32785096,701.29861637953,1,0
12,391320.02645222,705.86410329877,0,0
13,385073.9953589,700.2081394415,0,0
14,387667.73427537,702.56237409734,0,0
15,386702.52205997,701.68721175149,1,0
