var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396226.40284056,710.27538656832,1,0
1,392466.51582566,706.89736732687,1,0
2,392453.47418038,706.88562214489,1,0
3,388792.65460587,703.58097085322,1,0
4,393686.73211089,707.99542057922,0,0
5,390031.0563119,704.700620527,0,0
6,390020.88772994,704.69143426785,0,0
7,386365.28455235,701.38117953428,1,0
8,392050.44598277,706.52256252459,1,0
9,390021.7019641,704.69216984837,0,0
10,391733.46189715,706.23688283993,0,0
11,386296.69169297,701.31891737201,1,0
12,391191.81769569,705.74846217826,0,0
13,385866.8262139,700.92859988517,0,0
14,387550.51600118,702.45614991629,0,0
15,385770.32341801,700.84094555119,1,0
