var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396047.38941119,710.11491871912,1,0
1,392265.86779111,706.71664401052,1,0
2,392246.53411689,706.69922776449,1,0
3,388691.4938568,703.48943181875,1,0
4,393481.14322393,707.81053373082,0,0
5,389815.96097265,704.50627866565,0,0
6,389799.08081755,704.4910249239,0,0
7,386134.08221386,701.1712936542,1,0
8,391222.20738567,705.7758746387,1,0
9,389812.71930718,704.50334936226,0,0
10,392336.69512321,706.78044333554,0,0
11,386174.63350327,701.20811072746,1,0
12,390996.30157772,705.57207499585,0,0
13,384841.3025671,699.99654633135,0,0
14,387588.05936219,702.49017377263,0,0
15,386463.0119733,701.46987777229,1,0
