var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396059.83348761,710.12607477662,1,0
1,392300.22419923,706.74759204325,1,0
2,392286.71796182,706.73542587263,1,0
3,388656.43553128,703.4577052206,1,0
4,393526.08786912,707.85095674152,0,0
5,389871.77149121,704.55670945536,0,0
6,389860.90589327,704.54689150516,0,0
7,386206.65834113,701.23718515204,1,0
8,391396.28358172,705.93287635484,1,0
9,389862.62168427,704.54844187077,0,0
10,392032.52945945,706.50641846364,0,0
11,386162.1909126,701.19681413387,1,0
12,391050.68165406,705.62113905239,0,0
13,385176.57350175,700.30139589181,0,0
14,387537.9031259,702.44471906595,0,0
15,386171.43387766,701.20520581362,1,0
