# gr0gr1_gb gr0gr2_gb gr0gr3_gb gr1gr2_gb gr1gr3_gb gr2gr3_gb total
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 65 60 80 75 65 420
75 65 60 80 75 65 420
75 65 60 80 75 65 420
75 65 60 80 75 65 420
75 65 60 80 75 65 420
75 65 60 80 75 65 420
75 65 60 80 75 65 420
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
75 70 65 80 75 70 435
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
