var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,366472.55785204,405099.21099444,1,683.0866363189,709.14499000092,1,0,0.05,4,0,0,10
0.2,0.4,0,405099.21099444,443725.86413683,0,709.14499000092,735.20334368294,0,0.05,0.1,0,0,0,0
0.4,0.6,0,443725.86413683,482352.51727922,1,735.20334368294,761.26169736496,0,0.1,0.15,0,0,0,0
0.6,0.8,0,482352.51727922,520979.17042161,3,761.26169736496,787.32005104698,1,0.15,0.2,0,0,0,0
0.8,1,2,520979.17042161,559605.82356401,1,787.32005104698,813.378404729,3,0.2,0.25,0,0,0,0
1,1.2,0,559605.82356401,598232.4767064,1,813.378404729,839.43675841102,0,0.25,0.3,0,0,0,0
1.2,1.4,0,598232.4767064,636859.12984879,0,839.43675841102,865.49511209304,2,0.3,0.35,0,0,0,0
1.4,1.6,0,636859.12984879,675485.78299119,0,865.49511209304,891.55346577506,0,0.35,0.4,0,0,0,0
1.6,1.8,0,675485.78299119,714112.43613358,0,891.55346577506,917.61181945708,0,0.4,0.45,0,0,0,0
1.8,2,3,714112.43613358,752739.08927597,1,917.61181945708,943.6701731391,0,0.45,0.5,0,0,0,0
2,2.2,0,752739.08927597,791365.74241837,0,943.6701731391,969.72852682112,0,0.5,0.55,0,0,0,0
2.2,2.4,0,791365.74241837,829992.39556076,0,969.72852682112,995.78688050314,1,0.55,0.6,0,0,0,0
2.4,2.6,0,829992.39556076,868619.04870315,0,995.78688050314,1021.8452341852,0,0.6,0.65,0,0,0,0
2.6,2.8,0,868619.04870315,907245.70184554,1,1021.8452341852,1047.9035878672,0,0.65,0.7,0,0,0,0
2.8,3,2,907245.70184554,945872.35498794,0,1047.9035878672,1073.9619415492,1,0.7,0.75,0,0,0,0
3,3.2,0,945872.35498794,984499.00813033,0,1073.9619415492,1100.0202952312,0,0.75,0.8,0,0,0,0
3.2,3.4,0,984499.00813033,1023125.6612727,0,1100.0202952312,1126.0786489132,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1023125.6612727,1061752.3144151,0,1126.0786489132,1152.1370025953,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1061752.3144151,1100378.9675575,0,1152.1370025953,1178.1953562773,0,0.9,0.95,0,0,0,0
3.8,4,1,1100378.9675575,1139005.6206999,1,1178.1953562773,1204.2537099593,1,0.95,1,6,0,0,0
