var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,363964.13013753,403316.31033198,1,680.74482984172,707.23668390001,1,0,0.05,4,0,0,10
0.2,0.4,0,403316.31033198,442668.49052644,0,707.23668390001,733.72853795831,0,0.05,0.1,0,0,0,0
0.4,0.6,0,442668.49052644,482020.67072089,1,733.72853795831,760.2203920166,0,0.1,0.15,0,0,0,0
0.6,0.8,0,482020.67072089,521372.85091534,3,760.2203920166,786.71224607489,1,0.15,0.2,0,0,0,0
0.8,1,2,521372.85091534,560725.0311098,2,786.71224607489,813.20410013318,3,0.2,0.25,0,0,0,0
1,1.2,0,560725.0311098,600077.21130425,0,813.20410013318,839.69595419147,1,0.25,0.3,0,0,0,0
1.2,1.4,0,600077.21130425,639429.3914987,0,839.69595419147,866.18780824976,1,0.3,0.35,0,0,0,0
1.4,1.6,0,639429.3914987,678781.57169316,0,866.18780824976,892.67966230805,0,0.35,0.4,0,0,0,0
1.6,1.8,0,678781.57169316,718133.75188761,0,892.67966230805,919.17151636634,0,0.4,0.45,0,0,0,0
1.8,2,3,718133.75188761,757485.93208206,0,919.17151636634,945.66337042463,0,0.45,0.5,0,0,0,0
2,2.2,0,757485.93208206,796838.11227652,1,945.66337042463,972.15522448292,0,0.5,0.55,0,0,0,0
2.2,2.4,0,796838.11227652,836190.29247097,0,972.15522448292,998.64707854122,1,0.55,0.6,0,0,0,0
2.4,2.6,0,836190.29247097,875542.47266542,1,998.64707854122,1025.1389325995,0,0.6,0.65,0,0,0,0
2.6,2.8,0,875542.47266542,914894.65285988,0,1025.1389325995,1051.6307866578,0,0.65,0.7,0,0,0,0
2.8,3,2,914894.65285988,954246.83305433,0,1051.6307866578,1078.1226407161,1,0.7,0.75,0,0,0,0
3,3.2,0,954246.83305433,993599.01324878,0,1078.1226407161,1104.6144947744,0,0.75,0.8,0,0,0,0
3.2,3.4,0,993599.01324878,1032951.1934432,0,1104.6144947744,1131.1063488327,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1032951.1934432,1072303.3736377,0,1131.1063488327,1157.598202891,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1072303.3736377,1111655.5538321,0,1157.598202891,1184.0900569493,0,0.9,0.95,0,0,0,0
3.8,4,1,1111655.5538321,1151007.7340266,1,1184.0900569493,1210.5819110075,1,0.95,1,6,0,0,0
