# Step gr0 gr1 gr2 gr3
21700 61600 58775 54200 58100
21800 61600 58750 54200 58100
21900 61600 58750 54200 58100
22000 61600 58750 54200 58100
22100 61600 58750 54200 58100
22200 61600 58750 54200 58100
22300 61600 58750 54200 58100
22400 61600 58750 54200 58100
22500 61600 58750 54200 58100
22600 61600 58750 54200 58100
22700 61600 58750 54200 58100
22800 61600 58750 54200 58100
22900 61600 58750 54200 58100
23000 61600 58750 54200 58100
23100 61575 58800 54200 58100
23200 61575 58800 54200 58100
23300 61575 58800 54225 58100
23400 61575 58800 54225 58100
23500 61575 58800 54200 58100
23600 61575 58800 54175 58100
23700 61575 58800 54175 58100
23800 61575 58800 54175 58100
23900 61575 58800 54175 58100
24000 61575 58775 54175 58100
24100 61575 58800 54175 58100
24200 61575 58800 54175 58100
24300 61575 58800 54200 58100
24400 61575 58800 54200 58100
24500 61575 58800 54200 58100
24600 61575 58800 54200 58100
24700 61575 58800 54200 58100
24800 61575 58800 54200 58100
24900 61575 58800 54200 58100
25000 61575 58800 54200 58100
25100 61575 58800 54200 58100
25200 61575 58825 54200 58100
25300 61575 58825 54200 58100
25400 61575 58825 54200 58100
25500 61575 58825 54200 58100
25600 61575 58825 54225 58100
25700 61550 58825 54225 58100
25800 61550 58825 54225 58125
25900 61550 58825 54225 58125
26000 61550 58850 54225 58125
26100 61550 58850 54225 58100
26200 61525 58850 54225 58100
26300 61525 58850 54225 58075
26400 61525 58850 54250 58075
26500 61525 58850 54250 58075
26600 61525 58850 54250 58075
26700 61525 58850 54250 58075
26800 61525 58850 54250 58075
26900 61525 58850 54250 58075
27000 61525 58850 54250 58075
27100 61525 58850 54250 58075
27200 61525 58850 54250 58075
27300 61550 58875 54250 58075
27400 61550 58875 54250 58075
27500 61550 58875 54250 58050
27600 61550 58875 54250 58050
27700 61550 58900 54250 58050
27800 61550 58900 54250 58050
27900 61550 58900 54250 58025
28000 61550 58900 54250 58025
28100 61550 58900 54250 58025
28200 61550 58900 54250 58025
28300 61550 58900 54250 58025
28400 61550 58900 54250 58025
28500 61550 58900 54250 58025
28600 61550 58900 54250 58025
28700 61550 58900 54250 58025
28800 61575 58925 54250 58025
28900 61575 58925 54250 58025
29000 61600 58950 54250 58025
29100 61600 58950 54250 58025
29200 61600 58950 54275 58025
29300 61600 58950 54275 58025
29400 61600 58950 54275 58050
29500 61600 58950 54275 58050
29600 61575 58950 54275 58050
29700 61575 58950 54275 58050
29800 61550 58950 54275 58050
29900 61550 58950 54275 58050
30000 61550 58950 54325 58050
30100 61550 58925 54325 58050
30200 61550 58900 54325 58050
30300 61550 58900 54325 58050
30400 61550 58900 54325 58050
30500 61550 58900 54325 58050
30600 61550 58900 54300 58050
30700 61550 58900 54300 58050
30800 61550 58925 54300 58050
30900 61550 58900 54300 58050
31000 61550 58900 54300 58050
31100 61550 58900 54300 58050
31200 61550 58925 54300 58025
31300 61550 58925 54300 58025
31400 61550 58925 54300 58025
31500 61525 58925 54300 58025
31600 61525 58925 54300 58025
31700 61525 58925 54300 58050
31800 61525 58925 54300 58050
31900 61525 58925 54300 58050
32000 61525 58925 54300 58050
32100 61525 58925 54300 58050
32200 61525 58925 54300 58025
32300 61525 58925 54300 58025
32400 61525 58925 54300 58025
32500 61525 58925 54300 58025
32600 61525 58925 54300 58025
32700 61525 58925 54300 58025
32800 61525 58925 54325 58025
32900 61500 58925 54325 58000
33000 61500 58925 54325 58000
33100 61500 58950 54325 58000
33200 61500 58950 54325 58000
33300 61500 58950 54325 58000
33400 61475 58950 54325 58000
33500 61475 58950 54350 58000
33600 61475 58950 54375 57975
