time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
600,600,4444867.4392627,3974690.2176667,8467146.1637646,8123881.0882791,0,0
900,300,4453266.3100628,3982989.9362599,8460228.5165155,8117097.8449428,0,0
1200,300,4462237.4426231,3991875.0575135,8451764.8705797,8108717.3045726,0,0
1500,300,4470110.6246586,3999692.1565924,8443899.3540658,8100913.9253419,0,0
1800,300,4478682.0889277,4008219.0956152,8435314.8431716,8092375.7196895,0,0
2100,300,4487491.6240632,4016997.9609829,8426521.756211,8083585.1158215,0,0
2400,300,4496390.3590367,4025876.4468399,8417681.217156,8074671.6890423,0,0
2700,300,4504220.4618499,4033693.1997749,8409961.8331737,8066770.9184764,0,0
2850,150,4508558.6862296,4038023.393051,8405700.6095481,8062375.422421,0,0
2925,75,4510780.7489502,4040240.913223,8403522.7744794,8060118.696895,0,0
2962.5,37.5,4511898.4280986,4041356.1598564,8402428.7101722,8058982.1657681,0,0
3000,37.5,4513017.6094425,4042472.7688224,8401334.2280292,8057843.1159251,0,0
3075,75,4515256.9044053,4044706.6804563,8399147.3405611,8055561.3149999,0,0
3225,150,4519735.9655267,4049173.8361403,8394783.896269,8050987.7165887,0,0
3525,300,4528691.1045136,4058100.8938446,8386092.2929197,8041815.0962001,0,0
4125,600,4546567.9051577,4075919.7330475,8368792.9438606,8023449.6997336,0,0
5325,1200,4582061.3686957,4111383.8037576,8334354.9014169,7986974.7389693,0,0
6525,1200,4617327.6774786,4146704.7434677,8299996.3346897,7950777.455344,0,0
7725,1200,4652537.0034173,4181975.686426,8265539.7315386,7914779.3607854,0,0
8925,1200,4687750.6934807,4217242.1920912,8230971.4490768,7878888.2393078,0,0
10125,1200,4722968.2961163,4252495.9438866,8196226.4004444,7843174.7863306,0,0
11325,1200,4758173.0937291,4287718.0438307,8161210.935871,7807768.5170492,0,0
12525,1200,4793359.8782703,4322917.5798366,8125926.4878284,7772668.7002898,0,0
13725,1200,4828535.6081449,4358108.0446726,8090423.1625813,7737808.7391778,0,0
14925,1200,4863712.7013584,4393300.6961542,8054787.9618413,7703079.4924759,0,0
17325,2400,4933602.2817677,4463279.8943371,7983766.4117405,7634244.7757588,0,0
18525,1200,4968643.4467738,4498363.4919546,7948058.7522075,7599832.8488202,0,0
20925,2400,5038464.4146789,4568341.915024,7876847.7444721,7531251.3444978,0,0
22125,1200,5073497.1820704,4603454.4768406,7841221.3844013,7496737.4030744,0,0
23325,1200,5108621.8841206,4638642.8646945,7805586.7388385,7462062.4764891,0,0
25725,2400,5178568.1226969,4708723.4160749,7734701.7363357,7392927.1169267,0,0
26925,1200,5213632.9070295,4743852.2130042,7699290.5778078,7358148.8482895,0,0
29325,2400,5283560.3145456,4813902.7666687,7628725.4178329,7288735.4393197,0,0
30525,1200,5318621.4693624,4848982.8693195,7593188.1166009,7254127.6127995,0,0
32925,2400,5388521.6909556,4918927.9219133,7521918.5872454,7185544.255949,0,0
34125,1200,5423552.0072562,4953980.0122242,7486102.2321831,7151277.4821089,0,0
36525,2400,5493429.1154895,5023911.2208078,7414486.371439,7083084.2709537,0,0
37725,1200,5528464.8267787,5058952.5221238,7378468.7481851,7049026.3768487,0,0
40125,2400,5598387.9608085,5128906.3859027,7306231.4958011,6981392.107181,0,0
41325,1200,5633439.2904554,5163982.9384426,7269839.075172,6947661.1471154,0,0
43725,2400,5703381.4858206,5234036.4423694,7197276.1825952,6880238.214686,0,0
44925,1200,5738439.8895099,5269161.0143306,7161080.6551108,6846255.989896,0,0
47325,2400,5808417.5608613,5339256.5352737,7089243.489732,6778022.1532897,0,0
48525,1200,5843494.2249443,5374352.9755888,7053347.7705549,6743741.2767857,0,0
49725,1200,5878635.243981,5409482.3710068,7017398.0403174,6709415.2528854,0,0
52125,2400,5948690.2354798,5479496.4512549,6945820.2623063,6640917.9011742,0,0
53325,1200,5983768.79126,5514545.9566261,6910091.8140538,6606516.9299184,0,0
55725,2400,6053734.9805897,5584494.1258719,6838923.6075259,6537766.8782004,0,0
58125,2400,6123472.8580545,5654272.931747,6767957.3435896,6469217.1352964,0,0
59325,1200,6158491.9212808,5689312.4666049,6732340.607271,6434777.6439469,0,0
61725,2400,6228428.6051009,5759300.2855128,6661154.6721889,6366043.6044218,0,0
64125,2400,6298171.0993161,5829111.0258087,6589711.7396967,6297935.5176423,0,0
65325,1200,6333180.9929317,5864154.2305304,6553650.5463831,6263943.3933921,0,0
67725,2400,6403091.6333169,5934168.4588146,6481426.2303548,6196242.9751769,0,0
