var_num,feature_volumes,intersects_bounds,percolated
0,1108860.5803082,1,0
1,775608.10479025,1,0
2,1252972.5050735,1,0
3,776967.44070377,1,0
4,992093.38020377,1,0
5,1338268.7761157,1,0
