var_num,feature_volumes,intersects_bounds,percolated
0,1108972.3240531,1,0
1,775478.91649666,1,0
2,1252958.7742587,1,0
3,776929.55258059,1,0
4,992166.01465899,1,0
5,1338304.4365541,1,0
