var_num,feature_volumes,intersects_bounds,percolated
0,1109273.9515467,1,0
1,775069.60942237,0,0
2,1252935.6172196,1,0
3,776815.18674838,1,0
4,992345.48461152,1,0
5,1338339.8712997,1,0
