var_num,feature_volumes,intersects_bounds,percolated
0,1108770.7543775,1,0
1,775739.28253332,1,0
2,1252975.0438745,1,0
3,777021.09031024,1,0
4,992008.47953459,1,0
5,1338237.5751679,1,0
