var_num,feature_volumes,intersects_bounds,percolated
0,1108168.7717275,1,0
1,776610.02174578,1,0
2,1252925.216221,1,0
3,777436.16389006,1,0
4,991470.86962273,1,0
5,1338133.0181237,1,0
