var_num,feature_volumes,intersects_bounds,percolated
0,1107959.3268403,1,0
1,776822.01698839,1,0
2,1253116.0467558,1,0
3,777570.28302593,1,0
4,991225.95703181,1,0
5,1338079.0040901,1,0
