var_num,feature_volumes,intersects_bounds,percolated
0,1106885.9865183,1,0
1,778405.48815686,1,0
2,1252883.3248142,1,0
3,778821.33010466,1,0
4,990173.89412339,1,0
5,1338223.9540046,1,0
