var_num,feature_volumes,intersects_bounds,percolated
0,1108601.9899981,1,0
1,775995.59525091,1,0
2,1252956.837364,1,0
3,777152.27744063,1,0
4,991854.31502815,1,0
5,1338230.6811127,1,0
