var_num,feature_volumes,intersects_bounds,percolated
0,1108440.0065888,1,0
1,776241.33165609,1,0
2,1252896.8546402,1,0
3,777270.24964247,1,0
4,991716.08055629,1,0
5,1338207.1985375,1,0
