var_num,feature_volumes,intersects_bounds,percolated
0,1108277.7120177,1,0
1,776493.09293474,1,0
2,1252864.8703472,1,0
3,777383.31772194,1,0
4,991589.39736627,1,0
5,1338185.9483266,1,0
