# gr0gr1_gb gr0gr2_gb gr0gr3_gb gr1gr2_gb gr1gr3_gb gr2gr3_gb total
65 65 60 70 65 65 390
50 50 50 55 55 55 315
50 60 60 50 50 60 330
50 55 55 50 50 55 315
55 55 60 55 60 60 345
60 60 60 65 65 65 375
60 55 55 60 60 55 345
55 50 55 55 60 55 330
55 55 60 50 55 55 330
50 55 55 55 55 60 330
45 45 40 60 55 55 300
50 60 50 65 55 65 345
50 60 50 55 45 55 315
55 60 55 60 55 60 345
55 55 60 60 65 65 360
60 50 60 60 70 60 360
65 45 60 60 75 55 360
65 55 60 50 55 45 330
70 60 60 65 65 55 375
70 60 60 65 65 55 375
70 60 60 65 65 55 375
70 60 60 65 65 55 375
70 60 60 70 70 60 390
60 50 50 55 55 45 315
55 50 55 55 60 55 330
55 50 55 55 60 55 330
55 50 55 55 60 55 330
55 50 55 55 60 55 330
55 50 55 55 60 55 330
55 50 55 55 60 55 330
55 50 55 55 60 55 330
55 55 60 55 60 60 345
55 60 65 55 60 65 360
55 55 60 50 55 55 330
55 50 55 50 55 50 315
55 50 55 55 60 55 330
55 50 55 50 55 50 315
55 50 55 55 60 55 330
45 45 50 50 55 55 300
45 45 50 50 55 55 300
50 50 50 55 55 55 315
45 45 50 50 55 55 300
45 50 55 50 55 60 315
45 50 55 50 55 60 315
50 55 55 55 55 60 330
50 55 55 55 55 60 330
50 55 55 50 50 55 315
50 55 55 50 50 55 315
50 55 55 55 55 60 330
50 55 55 50 50 55 315
45 55 50 50 45 55 300
40 50 50 45 45 55 285
40 50 50 45 45 55 285
40 50 50 50 50 60 300
45 50 55 45 50 55 300
55 55 50 55 50 50 315
55 55 50 60 55 55 330
55 55 50 60 55 55 330
55 55 50 60 55 55 330
55 55 50 60 55 55 330
55 55 50 60 55 55 330
60 60 50 60 50 50 330
60 55 45 60 50 45 315
55 55 50 55 50 50 315
60 55 55 55 55 50 330
60 55 55 55 55 50 330
60 55 55 55 55 50 330
60 55 55 55 55 50 330
60 55 55 55 55 50 330
60 55 55 55 55 50 330
60 55 55 55 55 50 330
60 55 55 55 55 50 330
60 55 55 55 55 50 330
60 55 55 60 60 55 345
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 65 65 65 375
60 60 60 65 65 65 375
60 60 60 65 65 65 375
60 60 60 65 65 65 375
60 60 60 65 65 65 375
55 60 65 60 65 70 375
55 60 65 60 65 70 375
55 60 65 60 65 70 375
60 60 70 60 70 70 390
60 60 70 60 70 70 390
60 60 70 55 65 65 375
60 60 70 55 65 65 375
60 60 70 55 65 65 375
60 60 70 55 65 65 375
60 55 65 55 65 60 360
60 55 65 55 65 60 360
60 55 65 55 65 60 360
60 55 65 60 70 65 375
65 60 65 65 70 65 390
65 60 65 65 70 65 390
65 60 65 65 70 65 390
65 60 65 65 70 65 390
