# Step gr0 gr1 gr2 gr3 
21700 34725 109600 48900 23225
21800 34675 109600 48900 23225
21900 34650 109625 48900 23225
22000 34650 109675 48900 23225
22100 34625 109675 48925 23225
22200 34625 109700 49025 23225
22300 34625 109725 49125 23225
22400 34625 109775 49225 23225
22500 34600 109775 49350 23225
22600 34575 109800 49350 23250
22700 34575 109825 49400 23250
22800 34575 109825 49400 23250
22900 34575 109850 49400 23250
23000 34575 109875 49400 23250
23100 34550 109875 49400 23250
23200 34525 109875 49400 23250
23300 34525 109900 49400 23250
23400 34525 109900 49400 23250
23500 34525 109925 49400 23250
23600 34500 110000 49400 23250
23700 34450 110025 49400 23250
23800 34450 110025 49400 23250
23900 34450 110025 49400 23250
24000 34400 110025 49400 23250
24100 34350 110025 49400 23250
24200 34275 110050 49400 23275
24300 34250 110050 49400 23275
24400 34250 110125 49400 23275
24500 34200 110125 49400 23275
24600 34175 110125 49400 23275
24700 34175 110125 49400 23275
24800 34175 110125 49400 23275
24900 34175 110150 49400 23275
25000 34175 110150 49400 23275
25100 34150 110175 49400 23275
25200 34150 110175 49400 23275
25300 34150 110175 49400 23275
25400 34100 110225 49400 23275
25500 34075 110250 49400 23275
25600 34050 110250 49400 23275
25700 34025 110275 49400 23275
25800 34025 110275 49400 23275
25900 33975 110300 49400 23275
26000 33975 110300 49400 23275
26100 33900 110325 49400 23275
26200 33800 110350 49400 23275
26300 33600 110400 49400 23275
26400 33600 110450 49400 23275
26500 33600 110425 49400 23275
26600 33600 110450 49400 23275
26700 33600 110475 49400 23275
26800 33575 110475 49400 23275
26900 33575 110475 49400 23275
27000 33550 110475 49400 23275
27100 33550 110475 49400 23275
27200 33550 110475 49400 23275
27300 33525 110475 49450 23275
27400 33500 110475 49450 23275
27500 33500 110500 49450 23275
27600 33425 110500 49450 23275
27700 33425 110500 49450 23275
27800 33375 110500 49450 23275
27900 33375 110525 49450 23275
28000 33275 110525 49450 23275
28100 33200 110525 49450 23275
28200 33200 110550 49450 23275
28300 33200 110550 49450 23275
28400 33200 110550 49450 23275
28500 33200 110575 49450 23325
28600 33200 110575 49450 23325
28700 33200 110575 49450 23325
28800 33200 110525 49450 23325
28900 33200 110550 49475 23325
29000 33200 110550 49600 23325
29100 33200 110550 49650 23325
29200 33200 110575 49775 23325
29300 33200 110575 49775 23325
29400 33200 110600 49825 23325
29500 33200 110650 49825 23325
29600 33200 110650 49825 23325
29700 33200 110650 49825 23325
29800 33200 110675 49825 23325
29900 33175 110625 49825 23325
30000 33150 110675 49825 23325
30100 33150 110675 49825 23325
30200 33150 110700 49825 23325
30300 33150 110725 49825 23325
30400 33150 110750 49825 23325
30500 33150 110750 49775 23375
30600 33150 110775 49775 23400
30700 33150 110850 49775 23400
30800 33150 110850 49775 23400
30900 33150 110900 49775 23400
31000 33125 110975 49825 23400
31100 33100 111000 49850 23400
31200 33100 111100 49850 23400
31300 33075 111100 49825 23400
31400 33075 111125 49825 23400
31500 33075 111125 49825 23400
31600 33075 111125 49825 23450
31700 33075 111125 49825 23450
31800 33050 111125 49875 23450
31900 33050 111125 49875 23450
32000 33050 111125 49875 23450
32100 33050 111125 49875 23450
32200 33050 111125 49875 23450
32300 33050 111125 49875 23450
32400 33050 111125 49875 23450
32500 33050 111125 49875 23450
32600 33050 111125 49875 23450
32700 33050 111125 49875 23450
32800 33050 111150 49925 23450
32900 33050 111150 49925 23475
33000 33050 111175 49925 23475
33100 33025 111175 49925 23475
33200 33025 111175 49925 23475
33300 33025 111200 49925 23475
33400 33025 111200 49925 23475
33500 32950 111200 49925 23475
33600 32900 111200 49900 23475
33700 32900 111200 49900 23475
33800 32875 111200 49900 23475
33900 32850 111200 49900 23475
34000 32825 111250 49900 23475
34100 32775 111275 49900 23475
34200 32750 111275 49900 23475
34300 32675 111275 49925 23475
34400 32525 111275 49950 23475
34500 32500 111275 49950 23450
34600 32425 111275 49950 23450
34700 32350 111275 49950 23450
34800 32350 111275 49950 23450
34900 32275 111275 49950 23450
35000 32075 111275 49950 23450
35100 32075 111275 49950 23450
35200 32075 111275 49950 23450
35300 32075 111275 49950 23450
35400 32075 111275 49950 23450
35500 32075 111275 49925 23450
35600 32075 111225 49925 23450
35700 32075 111225 49925 23450
35800 32075 111225 49925 23450
35900 32075 111225 49925 23450
36000 32075 111225 49925 23450
36100 32075 111225 49925 23450
36200 32075 111225 49925 23450
36300 32075 111250 49925 23450
36400 32075 111275 49925 23450
36500 32075 111275 49925 23450
36600 32075 111300 49925 23450
36700 32050 111325 49925 23450
36800 32025 111325 49925 23450
36900 32025 111325 49925 23450
37000 32025 111350 49925 23450
37100 32025 111350 49925 23500
37200 32025 111375 49925 23500
37300 32025 111375 49925 23500
37400 32000 111400 49925 23475
37500 31975 111425 49925 23475
37600 31975 111450 49925 23475
37700 31975 111475 49925 23475
37800 32000 111475 49925 23475
37900 32000 111500 49925 23475
38000 32025 111500 49925 23475
38100 32025 111525 49925 23475
38200 32025 111525 49925 23475
38300 32025 111550 49925 23475
38400 32025 111550 49925 23475
38500 32025 111550 49925 23475
38600 32025 111575 49925 23475
38700 32025 111575 49925 23475
38800 32025 111600 49925 23475
38900 32025 111600 49925 23475
39000 32025 111600 49925 23475
39100 32025 111625 49925 23475
39200 32025 111650 49925 23475
39300 32000 111650 49925 23475
39400 32000 111650 49925 23475
39500 31975 111650 49925 23475
39600 31975 111675 49925 23475
39700 31975 111700 49925 23475
39800 31975 111700 49925 23475
39900 31975 111700 49925 23475
40000 31975 111700 49925 23475
40100 31975 111725 49925 23475
40200 31975 111750 49925 23475
40300 31975 111750 49925 23475
40400 31975 111750 49925 23475
40500 31950 111750 49925 23475
40600 31950 111750 49925 23475
40700 31950 111775 49925 23475
40800 31925 111775 49975 23475
40900 31925 111775 50075 23475
41000 31925 111775 50125 23475
41100 31925 111800 50200 23475
41200 31925 111800 50175 23475
41300 31925 111800 50175 23475
41400 31925 111800 50150 23475
41500 31925 111800 50150 23475
41600 31900 111850 50200 23475
41700 31900 111875 50200 23475
41800 31900 111875 50200 23475
41900 31875 111875 50200 23475
42000 31875 111875 50200 23475
42100 31875 111875 50200 23475
42200 31875 111900 50200 23475
42300 31875 111925 50200 23475
42400 31875 111925 50200 23475
42500 31875 111925 50200 23475
42600 31875 111925 50200 23475
42700 31850 111975 50200 23475
42800 31850 111975 50200 23500
42900 31850 111975 50200 23500
