# Step gr0 gr1 gr2 gr3 
21700 63700 14825 57525 84425
21800 63700 14825 57525 84425
21900 63700 14800 57525 84425
22000 63700 14800 57525 84425
22100 63700 14800 57525 84400
22200 63700 14800 57475 84400
22300 63675 14775 57475 84400
22400 63675 14775 57475 84400
22500 63675 14775 57475 84400
22600 63675 14775 57475 84400
22700 63650 14775 57475 84400
22800 63650 14750 57475 84400
22900 63650 14750 57475 84400
23000 63650 14750 57475 84400
23100 63650 14750 57475 84400
23200 63650 14750 57475 84400
23300 63650 14750 57475 84400
23400 63650 14725 57475 84400
23500 63650 14700 57475 84400
23600 63650 14700 57475 84400
23700 63650 14675 57475 84400
23800 63650 14675 57475 84400
23900 63650 14675 57475 84400
24000 63650 14675 57475 84400
24100 63650 14675 57475 84400
24200 63650 14675 57475 84400
24300 63650 14675 57475 84400
24400 63650 14675 57475 84400
24500 63650 14675 57475 84400
24600 63650 14675 57475 84400
24700 63650 14675 57475 84400
24800 63650 14675 57475 84400
24900 63650 14675 57475 84375
25000 63650 14675 57475 84375
25100 63650 14675 57475 84375
25200 63650 14675 57475 84350
25300 63650 14675 57475 84325
25400 63650 14675 57475 84300
25500 63650 14675 57475 84300
25600 63675 14675 57475 84300
25700 63675 14675 57475 84300
25800 63675 14675 57475 84300
25900 63675 14650 57475 84300
26000 63675 14650 57475 84300
26100 63675 14625 57475 84300
26200 63675 14625 57475 84300
26300 63700 14600 57475 84300
26400 63700 14600 57475 84300
26500 63700 14600 57475 84300
26600 63700 14575 57475 84300
26700 63700 14575 57475 84300
26800 63700 14575 57475 84300
26900 63700 14575 57475 84300
27000 63700 14575 57475 84300
27100 63700 14575 57475 84300
27200 63700 14575 57475 84300
27300 63700 14550 57475 84250
27400 63700 14550 57475 84225
27500 63700 14500 57475 84225
27600 63700 14450 57475 84225
27700 63700 14450 57475 84200
27800 63700 14425 57475 84175
27900 63700 14425 57475 84175
28000 63700 14425 57475 84175
28100 63700 14400 57450 84125
28200 63700 14350 57425 84125
28300 63700 14325 57425 84125
28400 63700 14125 57425 84025
28500 63700 13650 57425 83450
28600 63700 13650 57425 83400
28700 63700 13650 57425 83375
28800 63700 13650 57425 83325
28900 63700 13650 57425 83300
29000 63700 13650 57425 83300
29100 63700 13625 57425 83300
29200 63700 13625 57425 83300
29300 63700 13625 57450 83300
29400 63700 13625 57450 83275
29500 63700 13625 57475 83275
29600 63700 13625 57500 83225
29700 63700 13625 57500 83225
29800 63700 13600 57500 83200
29900 63700 13600 57525 83200
30000 63700 13600 57525 83200
30100 63700 13600 57525 83200
30200 63700 13600 57525 83200
30300 63700 13600 57525 83200
30400 63700 13600 57525 83200
30500 63700 13600 57525 83200
30600 63700 13575 57525 83200
30700 63700 13575 57525 83150
30800 63700 13575 57525 83150
30900 63700 13575 57525 83150
31000 63700 13575 57525 83125
31100 63700 13575 57525 83125
31200 63700 13575 57525 83125
31300 63700 13575 57525 83100
31400 63650 13575 57525 83100
31500 63650 13575 57525 83100
31600 63650 13575 57525 83100
31700 63650 13575 57525 83100
31800 63675 13575 57525 83100
31900 63675 13575 57475 83100
32000 63675 13575 57475 83100
32100 63675 13575 57475 83075
32200 63675 13575 57475 83075
32300 63675 13550 57475 83075
32400 63650 13550 57475 83075
32500 63650 13550 57475 83075
32600 63600 13550 57425 83050
32700 63500 13525 57325 82850
32800 63500 13525 57325 82800
32900 63500 13525 57325 82800
33000 63500 13525 57325 82800
33100 63500 13525 57325 82650
33200 63500 13525 57325 82650
33300 63500 13525 57325 82650
33400 63500 13525 57325 82650
33500 63500 13525 57325 82650
33600 63500 13525 57325 82650
33700 63500 13525 57325 82650
33800 63500 13525 57325 82650
33900 63500 13525 57325 82650
34000 63525 13525 57325 82650
34100 63525 13500 57325 82650
34200 63525 13500 57325 82650
34300 63525 13500 57325 82650
34400 63525 13475 57325 82650
34500 63525 13475 57325 82650
34600 63525 13475 57325 82650
34700 63525 13475 57325 82650
34800 63525 13475 57325 82650
34900 63525 13475 57325 82650
35000 63525 13475 57325 82650
35100 63525 13475 57325 82650
35200 63525 13475 57325 82650
35300 63525 13475 57325 82650
35400 63525 13475 57325 82650
35500 63550 13475 57325 82650
35600 63550 13475 57325 82650
35700 63550 13475 57325 82650
35800 63550 13450 57325 82650
35900 63550 13450 57325 82650
36000 63550 13450 57325 82650
36100 63550 13450 57325 82650
36200 63525 13450 57325 82650
36300 63525 13450 57325 82650
36400 63525 13425 57325 82650
36500 63500 13425 57325 82625
36600 63500 13425 57325 82625
36700 63500 13425 57325 82625
36800 63500 13425 57325 82625
36900 63500 13425 57325 82625
37000 63500 13425 57325 82625
37100 63500 13425 57325 82625
37200 63500 13425 57325 82625
37300 63500 13425 57325 82625
37400 63500 13425 57325 82625
37500 63500 13425 57325 82625
37600 63500 13425 57350 82625
37700 63500 13425 57375 82625
37800 63500 13425 57375 82625
37900 63500 13425 57375 82625
38000 63500 13425 57375 82625
38100 63500 13425 57375 82625
38200 63500 13425 57375 82625
38300 63500 13425 57375 82625
38400 63500 13425 57375 82625
38500 63500 13425 57375 82625
38600 63500 13425 57375 82625
38700 63500 13425 57375 82625
38800 63500 13425 57375 82625
38900 63500 13425 57375 82625
39000 63500 13425 57375 82625
39100 63500 13425 57375 82625
39200 63500 13425 57375 82625
