var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,391194.57719268,705.75095137568,1,0
1,387234.83488461,702.16999713322,1,0
2,387264.51809278,702.19690878594,1,0
3,383255.53377801,698.55286224075,1,0
4,388772.80019278,703.5630057947,0,0
5,384954.00831501,700.09904034428,0,0
6,384978.2670936,700.12109918727,0,0
7,381157.52806159,696.63824005112,1,0
8,389340.96826766,704.07692561527,1,0
9,384955.75690841,700.10063038769,0,0
10,385637.04535563,700.71986989211,0,0
11,382381.80179481,697.75614023256,1,0
12,386453.623693,701.46135737625,0,0
13,383184.46059907,698.48808734491,0,0
14,384116.82351381,699.33735027942,0,0
15,379674.72725848,695.28186865619,1,0
