var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,391983.97541694,706.46266596568,1,0
1,387101.21216019,702.04883814252,1,0
2,387280.86259893,702.21172674636,1,0
3,382447.87437856,697.81642102969,1,0
4,389613.65114681,704.32343976952,0,0
5,384963.64781596,700.10780575907,0,0
6,385189.6896686,700.31331924384,0,0
7,380393.38363077,695.93957970093,1,0
8,391445.6307995,705.97737693762,1,0
9,384782.66967589,699.94321995438,0,0
10,383574.41977714,698.8434156584,0,0
11,381828.82388797,697.25143090128,1,0
12,387289.86716461,702.21989016918,0,0
13,384738.60726554,699.90314269677,0,0
14,384025.63393614,699.2543337867,0,0
15,377442.56023996,693.23502043939,1,0
