var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,391165.56620211,705.72478164455,1,0
1,387258.92335,702.19183650964,1,0
2,387273.73363554,702.20526365302,1,0
3,383353.87350335,698.64247750324,1,0
4,388558.3831145,703.36896350332,0,0
5,384892.55205578,700.04315420655,0,0
6,384900.79910933,700.0506540431,0,0
7,381230.35051827,696.70478535253,1,0
8,388907.67036054,703.68503263453,1,0
9,384891.54007567,700.04223391047,0,0
10,386009.28756364,701.05797874432,0,0
11,382434.43466446,697.80415983514,1,0
12,386128.95590976,701.16663927458,0,0
13,382721.92062819,698.06638937912,0,0
14,383995.33539484,699.2267486435,0,0
15,380067.26414757,695.64119369974,1,0
