var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,392472.68944011,706.90292715741,1,0
1,386881.82429073,701.84986843786,1,0
2,387247.10330606,702.18112016303,1,0
3,382150.80350456,697.54534983348,1,0
4,389899.75929603,704.58199808001,0,0
5,385013.78232167,700.15339242198,0,0
6,385502.12504991,700.59728103454,0,0
7,380075.49542046,695.64872655252,1,0
8,393313.40818197,707.65965320333,1,0
9,384417.84902816,699.61132572643,0,0
10,382034.86702004,697.43953154202,0,0
11,381624.57783835,697.06492075462,1,0
12,387374.56381894,702.296670417,0,0
13,386427.50726369,701.43765469325,0,0
14,383527.13168844,698.80033668035,0,0
15,376014.36140799,691.92221696734,1,0
