var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396569.26513868,710.58262756778,1,0
1,392852.73306881,707.24510249312,1,0
2,392852.75305925,707.24512048731,1,0
3,389128.98044077,703.88522210632,1,0
4,394070.19518211,708.34014139209,0,0
5,390416.68142485,705.04890448422,0,0
6,390416.6958739,705.04891753089,0,0
7,386763.17529622,701.74223845689,1,0
8,394072.96176062,708.34262784654,1,0
9,390416.70005623,705.04892130731,0,0
10,390443.48070972,705.07310232603,0,0
11,386778.72040147,701.75634081725,1,0
12,391574.6694578,706.09372881387,0,0
13,387980.78499609,702.84598459009,0,0
14,388006.57272852,702.86934206516,0,0
15,384411.78522563,699.60580787435,1,0
