var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.75,1,379238.5889587,379841.82095633,1,694.88241332745,695.43074033166,1,0,0.05,8,0,0,16
0.75,1.5,1,379841.82095633,380445.05295396,0,695.43074033166,695.97906733587,0,0.05,0.1,0,0,0,0
1.5,2.25,1,380445.05295396,381048.28495158,1,695.97906733587,696.52739434008,1,0.1,0.15,0,0,0,0
2.25,3,1,381048.28495158,381651.51694921,0,696.52739434008,697.07572134429,0,0.15,0.2,0,0,0,0
3,3.75,0,381651.51694921,382254.74894684,0,697.07572134429,697.62404834851,0,0.2,0.25,0,0,0,0
3.75,4.5,1,382254.74894684,382857.98094446,1,697.62404834851,698.17237535272,1,0.25,0.3,0,0,0,0
4.5,5.25,1,382857.98094446,383461.21294209,1,698.17237535272,698.72070235693,1,0.3,0.35,0,0,0,0
5.25,6,1,383461.21294209,384064.44493972,1,698.72070235693,699.26902936114,1,0.35,0.4,0,0,0,0
6,6.75,0,384064.44493972,384667.67693734,1,699.26902936114,699.81735636535,1,0.4,0.45,0,0,0,0
6.75,7.5,1,384667.67693734,385270.90893497,4,699.81735636535,700.36568336956,4,0.45,0.5,0,0,0,0
7.5,8.25,1,385270.90893497,385874.1409326,0,700.36568336956,700.91401037377,0,0.5,0.55,0,0,0,0
8.25,9,1,385874.1409326,386477.37293022,0,700.91401037377,701.46233737798,0,0.55,0.6,0,0,0,0
9,9.75,0,386477.37293022,387080.60492785,1,701.46233737798,702.01066438219,1,0.6,0.65,0,0,0,0
9.75,10.5,1,387080.60492785,387683.83692548,2,702.01066438219,702.5589913864,2,0.65,0.7,0,0,0,0
10.5,11.25,1,387683.83692548,388287.0689231,0,702.5589913864,703.10731839061,0,0.7,0.75,0,0,0,0
11.25,12,1,388287.0689231,388890.30092073,0,703.10731839061,703.65564539482,0,0.75,0.8,0,0,0,0
12,12.75,0,388890.30092073,389493.53291836,1,703.65564539482,704.20397239903,1,0.8,0.85,0,0,0,0
12.75,13.5,1,389493.53291836,390096.76491598,1,704.20397239903,704.75229940324,1,0.85,0.9,0,0,0,0
13.5,14.25,1,390096.76491598,390699.99691361,0,704.75229940324,705.30062640745,0,0.9,0.95,0,0,0,0
14.25,15,1,390699.99691361,391303.22891124,1,705.30062640745,705.84895341167,1,0.95,1,8,0,0,0
