var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.75,1,377442.56023996,378169.63099881,1,693.23502043939,693.8964027157,1,0,0.05,8,0,0,16
0.75,1.5,1,378169.63099881,378896.70175766,0,693.8964027157,694.55778499202,0,0.05,0.1,0,0,0,0
1.5,2.25,1,378896.70175766,379623.7725165,0,694.55778499202,695.21916726833,0,0.1,0.15,0,0,0,0
2.25,3,1,379623.7725165,380350.84327535,0,695.21916726833,695.88054954465,0,0.15,0.2,0,0,0,0
3,3.75,0,380350.84327535,381077.9140342,1,695.88054954465,696.54193182096,1,0.2,0.25,0,0,0,0
3.75,4.5,1,381077.9140342,381804.98479305,0,696.54193182096,697.20331409728,0,0.25,0.3,0,0,0,0
4.5,5.25,1,381804.98479305,382532.0555519,2,697.20331409728,697.86469637359,2,0.3,0.35,0,0,0,0
5.25,6,1,382532.0555519,383259.12631075,0,697.86469637359,698.52607864991,0,0.35,0.4,0,0,0,0
6,6.75,0,383259.12631075,383986.1970696,1,698.52607864991,699.18746092622,1,0.4,0.45,0,0,0,0
6.75,7.5,1,383986.1970696,384713.26782845,1,699.18746092622,699.84884320254,1,0.45,0.5,0,0,0,0
7.5,8.25,1,384713.26782845,385440.3385873,4,699.84884320254,700.51022547885,4,0.5,0.55,0,0,0,0
8.25,9,1,385440.3385873,386167.40934615,0,700.51022547885,701.17160775517,0,0.55,0.6,0,0,0,0
9,9.75,0,386167.40934615,386894.480105,0,701.17160775517,701.83299003148,0,0.6,0.65,0,0,0,0
9.75,10.5,1,386894.480105,387621.55086384,3,701.83299003148,702.4943723078,3,0.65,0.7,0,0,0,0
10.5,11.25,1,387621.55086384,388348.62162269,0,702.4943723078,703.15575458411,0,0.7,0.75,0,0,0,0
11.25,12,1,388348.62162269,389075.69238154,0,703.15575458411,703.81713686043,0,0.75,0.8,0,0,0,0
12,12.75,0,389075.69238154,389802.76314039,1,703.81713686043,704.47851913674,1,0.8,0.85,0,0,0,0
12.75,13.5,1,389802.76314039,390529.83389924,0,704.47851913674,705.13990141305,0,0.85,0.9,0,0,0,0
13.5,14.25,1,390529.83389924,391256.90465809,0,705.13990141305,705.80128368937,0,0.9,0.95,0,0,0,0
14.25,15,1,391256.90465809,391983.97541694,2,705.80128368937,706.46266596568,2,0.95,1,8,0,0,0
