var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,394153.67993365,708.41516922947,1,0
1,385696.93212554,700.77427625825,1,0
2,386990.72994648,701.94864542485,1,0
3,382730.79000593,698.07447799163,1,0
4,389667.05846982,704.37171161568,0,0
5,386323.73209901,701.34346277564,0,0
6,387986.9701525,702.85158692298,0,0
7,379027.85380786,694.68932050541,1,0
8,412962.9327628,725.12118746001,1,0
9,381296.57813031,696.76529875397,0,0
10,371417.60301064,687.67985266685,0,0
11,373672.72596246,689.76437388749,0,0
12,384884.57448156,700.03589935694,0,0
13,403721.10332165,716.96141722776,0,0
14,378065.46641847,693.80681918149,0,0
15,365063.1510566,681.77183885145,1,0
