var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,392545.79360219,706.96875994187,1,0
1,386843.76264856,701.81534340472,1,0
2,387238.98461843,702.17375946362,1,0
3,382117.7976601,697.51522616209,1,0
4,389931.68562265,704.61084428215,0,0
5,385021.78266846,700.16066676007,0,0
6,385566.78914843,700.65603763926,0,0
7,380030.54652278,695.60759055671,1,0
8,393628.77294198,707.94330257112,1,0
9,384349.41384855,699.54904953674,0,0
10,381822.53323198,697.24568724511,0,0
11,381557.64953288,697.00379337666,1,0
12,387359.92296465,702.28339861067,0,0
13,386711.75390745,701.69558747997,0,0
14,383460.32928832,698.73947583277,0,0
15,375801.60521009,691.72643778335,1,0
