var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.75,1,370193.98742106,371789.66093416,1,686.54615577373,687.99520597307,1,0,0.05,8,0,0,16
0.75,1.5,1,371789.66093416,373385.33444727,0,687.99520597307,689.44425617242,0,0.05,0.1,0,0,0,0
1.5,2.25,1,373385.33444727,374981.00796037,0,689.44425617242,690.89330637176,0,0.1,0.15,0,0,0,0
2.25,3,1,374981.00796037,376576.68147347,1,690.89330637176,692.3423565711,1,0.15,0.2,0,0,0,0
3,3.75,0,376576.68147347,378172.35498658,0,692.3423565711,693.79140677045,0,0.2,0.25,0,0,0,0
3.75,4.5,1,378172.35498658,379768.02849968,2,693.79140677045,695.24045696979,2,0.25,0.3,0,0,0,0
4.5,5.25,1,379768.02849968,381363.70201278,1,695.24045696979,696.68950716913,1,0.3,0.35,0,0,0,0
5.25,6,1,381363.70201278,382959.37552588,2,696.68950716913,698.13855736848,2,0.35,0.4,0,0,0,0
6,6.75,0,382959.37552588,384555.04903899,0,698.13855736848,699.58760756782,0,0.4,0.45,0,0,0,0
6.75,7.5,1,384555.04903899,386150.72255209,1,699.58760756782,701.03665776716,1,0.45,0.5,0,0,0,0
7.5,8.25,1,386150.72255209,387746.39606519,4,701.03665776716,702.48570796651,4,0.5,0.55,0,0,0,0
8.25,9,1,387746.39606519,389342.06957829,0,702.48570796651,703.93475816585,0,0.55,0.6,0,0,0,0
9,9.75,0,389342.06957829,390937.7430914,1,703.93475816585,705.38380836519,1,0.6,0.65,0,0,0,0
9.75,10.5,1,390937.7430914,392533.4166045,0,705.38380836519,706.83285856454,0,0.65,0.7,0,0,0,0
10.5,11.25,1,392533.4166045,394129.0901176,1,706.83285856454,708.28190876388,1,0.7,0.75,0,0,0,0
11.25,12,1,394129.0901176,395724.76363071,1,708.28190876388,709.73095896322,1,0.75,0.8,0,0,0,0
12,12.75,0,395724.76363071,397320.43714381,0,709.73095896322,711.18000916257,0,0.8,0.85,0,0,0,0
12.75,13.5,1,397320.43714381,398916.11065691,0,711.18000916257,712.62905936191,0,0.85,0.9,0,0,0,0
13.5,14.25,1,398916.11065691,400511.78417001,0,712.62905936191,714.07810956125,0,0.9,0.95,0,0,0,0
14.25,15,1,400511.78417001,402107.45768312,1,714.07810956125,715.5271597606,1,0.95,1,8,0,0,0
