var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,395084.00284342,709.25071442509,1,0
1,391343.52846731,705.88529947915,1,0
2,391343.64809194,705.88540736552,1,0
3,387186.76616646,702.12641445915,1,0
4,392552.68984721,706.97496992865,0,0
5,388911.98534685,703.68893636682,0,0
6,388912.09890857,703.68903910488,0,0
7,385271.3941236,700.38758873456,1,0
8,392598.11974077,707.01587764534,1,0
9,388911.59299614,703.68858141129,0,0
10,389277.13746344,704.01920803325,0,0
11,385173.94459406,700.2990060387,1,0
12,390059.50257755,704.72631814163,0,0
13,386488.86041133,701.49333615889,0,0
14,386845.71205047,701.81711171351,0,0
15,383260.40142085,698.55729830852,1,0
