var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,393288.72050582,707.63744350219,1,0
1,386576.94950899,701.57327428996,1,0
2,387113.05415647,702.05957641444,1,0
3,382067.18588849,697.46903144075,1,0
4,390153.06248879,704.8108311173,0,0
5,385160.42533079,700.28671599437,0,0
6,386027.25363057,701.07429325853,0,0
7,379695.22115437,695.30063319453,1,0
8,396345.0048597,710.38168159492,1,0
9,383633.84623602,698.89754880565,0,0
10,379795.03254645,695.39201486077,0,0
11,380849.26002768,696.35647369029,1,0
12,386999.96646273,701.95702226812,0,0
13,389365.52296289,704.09912739105,0,0
14,383309.66411111,698.6021916838,0,0
15,373384.87256849,689.49864768547,1,0
