var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,392322.62453079,706.76776938885,1,0
1,386940.50859723,701.90309659235,1,0
2,387267.20261434,702.19934259976,1,0
3,382225.75224427,697.61374898546,1,0
4,389835.79444957,704.52420075284,0,0
5,384993.50803738,700.13495763282,0,0
6,385397.67907005,700.5023664779,0,0
7,380160.4176002,695.72643835893,1,0
8,392652.65615292,707.06498227475,1,0
9,384543.10256528,699.72529241215,0,0
10,382517.31763797,697.87977142391,0,0
11,381739.33641519,697.16972030114,1,0
12,387371.19950413,702.29362071726,0,0
13,385846.612875,700.91024084013,0,0
14,383702.04917777,698.95967151836,0,0
15,376494.69190167,692.36401561035,1,0
