var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,391461.50924897,705.99169528933,1,0
1,387203.8172198,702.14187452156,1,0
2,387260.14133951,702.19294076001,1,0
3,382942.90720208,698.26789474065,1,0
4,389101.14336316,703.86004477569,0,0
5,384961.76330696,700.10609214132,0,0
6,385023.11094444,700.16187449148,0,0
7,380859.97383856,696.36626835169,1,0
8,390058.06057519,704.72501549685,1,0
9,384949.60352117,700.09503492974,0,0
10,384911.00618713,700.05993620636,0,0
11,382135.16045499,697.53107294587,1,0
12,386802.47357953,701.7778889099,0,0
13,383738.85397348,698.99319290705,0,0
14,384135.58370806,699.35442782399,0,0
15,378851.21437648,694.527427619,1,0
