var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.75,1,364641.16969104,367076.39588431,1,681.3776903371,683.58166353376,1,0,0.05,9,0,0,16
0.75,1.5,1,367076.39588431,369511.62207758,0,683.58166353376,685.78563673042,0,0.05,0.1,0,0,0,0
1.5,2.25,1,369511.62207758,371946.84827085,1,685.78563673042,687.98960992709,1,0.1,0.15,0,0,0,0
2.25,3,1,371946.84827085,374382.07446412,1,687.98960992709,690.19358312375,1,0.15,0.2,0,0,0,0
3,3.75,0,374382.07446412,376817.30065739,0,690.19358312375,692.39755632041,0,0.2,0.25,0,0,0,0
3.75,4.5,1,376817.30065739,379252.52685066,2,692.39755632041,694.60152951707,1,0.25,0.3,0,0,0,0
4.5,5.25,1,379252.52685066,381687.75304393,1,694.60152951707,696.80550271374,2,0.3,0.35,0,0,0,0
5.25,6,1,381687.75304393,384122.9792372,1,696.80550271374,699.0094759104,1,0.35,0.4,0,0,0,0
6,6.75,0,384122.9792372,386558.20543047,3,699.0094759104,701.21344910706,2,0.4,0.45,0,0,0,0
6.75,7.5,1,386558.20543047,388993.43162374,2,701.21344910706,703.41742230372,3,0.45,0.5,0,0,0,0
7.5,8.25,1,388993.43162374,391428.65781701,1,703.41742230372,705.62139550039,1,0.5,0.55,0,0,0,0
8.25,9,1,391428.65781701,393863.88401028,0,705.62139550039,707.82536869705,0,0.55,0.6,0,0,0,0
9,9.75,0,393863.88401028,396299.11020355,1,707.82536869705,710.02934189371,1,0.6,0.65,0,0,0,0
9.75,10.5,1,396299.11020355,398734.33639682,0,710.02934189371,712.23331509037,0,0.65,0.7,0,0,0,0
10.5,11.25,1,398734.33639682,401169.56259009,0,712.23331509037,714.43728828704,0,0.7,0.75,0,0,0,0
11.25,12,1,401169.56259009,403604.78878335,0,714.43728828704,716.6412614837,0,0.75,0.8,0,0,0,0
12,12.75,0,403604.78878335,406040.01497662,1,716.6412614837,718.84523468036,1,0.8,0.85,0,0,0,0
12.75,13.5,1,406040.01497662,408475.24116989,0,718.84523468036,721.04920787702,0,0.85,0.9,0,0,0,0
13.5,14.25,1,408475.24116989,410910.46736316,0,721.04920787702,723.25318107369,0,0.9,0.95,0,0,0,0
14.25,15,1,410910.46736316,413345.69355643,1,723.25318107369,725.45715427035,1,0.95,1,7,0,0,0
